报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),120487,81385,36801,154798,108821,74546,35416,163067,117394,81065,38645,168588,150972,129168,105446,
营业收入(万元),120487,81385,36801,154798,108821,74546,35416,163067,117394,81065,38645,168588,150972,129168,105446,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),105377,69983,32374,141174,99240,67261,33772,149991,107631,73424,36753,152136,137309,116034,92853,
营业成本(万元),49967,33198,15817,66320,45425,30878,15875,71023,50275,33956,17767,75368,69735,59678,47649,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1793,1239,580,2220,1381,1040,513,2072,1552,1178,532,2061,1726,1671,977,
销售费用(万元),36646,23807,10235,45770,31693,21962,10621,49516,35428,24512,12100,47462,42980,34019,24596,
管理费用(万元),15609,10850,5377,24356,17971,11981,6264,24661,18245,12203,6038,24017,19981,18139,18562,
财务费用(万元),-163,-155,-70,248,290,300,201,1417,1212,732,372,1693,1493,1268,799,
资产减值损失(万元),1524,1045,434,2259,2480,1099,297,1302,919,843,-57,1535,1394,1258,271,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),787,309,16,703,334,97,26,131,102,33,11,182,107,--,55,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,82,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),17573,13047,4443,14327,9916,7382,1670,13207,9866,7674,1904,16633,13770,13134,12647,
营业外收入(万元),192,157,176,2147,1773,699,103,1572,541,379,55,472,727,497,143,
营业外支出(万元),130,77,81,145,74,68,35,194,60,38,22,340,177,60,76,
非流动资产处置损失(万元),27,27,27,63,37,37,3,82,32,19,19,17,9,4,--,
利润总额(万元),17635,13127,4538,16329,11615,8013,1739,14586,10347,8015,1937,16766,14320,13570,12715,
所得税费用(万元),3774,3065,1200,4523,3168,2199,555,3716,2593,2147,537,4367,3505,1280,2221,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),13860,10062,3338,11806,8447,5814,1184,10870,7754,5868,1400,12399,10815,12290,10493,
归属于母公司所有者的净利润(万元),13950,10065,3326,11728,8344,5733,1153,10428,7402,5643,1304,12011,10405,11976,10289,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-89,-3,12,78,103,81,31,442,352,225,96,388,409,314,205,
基本每股收益,0.36,0.26,0.12,0.44,0.32,0.22,0.05,0.5,0.35,0.27,0.06,0.57,0.5,0.57,--,
稀释每股收益,0.36,0.26,0.12,0.44,0.32,0.22,0.05,0.5,0.35,0.27,0.06,0.57,0.5,0.57,--,
