报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),62522,38673,18316,50620,32427,20693,9488,51181,39212,25560,9921,58710,59749,62861,61996,
营业收入(万元),62522,38673,18316,50620,32427,20693,9488,51181,39212,25560,9921,58710,59749,62861,61996,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),61270,38269,18440,45889,29690,19038,9152,46743,35855,23365,9569,54668,56134,57286,56581,
营业成本(万元),54510,33736,15738,39735,25884,16558,7801,42247,32265,20982,8395,49914,51841,53310,53037,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),450,320,155,331,50,2,8,270,124,108,23,177,192,224,286,
销售费用(万元),1177,849,468,1177,747,436,258,985,810,549,254,842,756,801,630,
管理费用(万元),3524,2354,1340,3373,2073,1280,570,2252,1742,1155,603,2388,2527,2143,1805,
财务费用(万元),1434,866,315,1120,877,612,317,1339,1023,672,283,1098,726,803,814,
资产减值损失(万元),175,144,424,152,59,149,198,-350,-110,-100,11,249,93,5,9,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-8,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,-490,--,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3097,1645,-124,4731,2737,1656,336,4438,3357,2195,352,4042,3125,5567,5415,
营业外收入(万元),142,109,566,492,476,246,215,143,66,48,23,135,623,84,119,
营业外支出(万元),39,6,4,76,40,20,9,58,46,28,13,66,56,74,65,
非流动资产处置损失(万元),--,--,--,1,--,--,--,--,--,--,--,--,2,--,--,
利润总额(万元),3200,1749,438,5147,3173,1882,542,4523,3378,2215,362,4111,3693,5577,5469,
所得税费用(万元),203,133,25,803,403,203,51,637,523,361,62,495,478,785,566,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2998,1616,413,4345,2771,1679,491,3886,2855,1854,300,3616,3214,4792,4903,
归属于母公司所有者的净利润(万元),2994,1616,439,4289,2756,1679,491,3886,2855,1854,300,3616,3214,4792,4903,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),3,-1,-26,56,14,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.41,0.22,0.06,0.64,0.42,0.27,0.09,0.71,0.52,0.34,0.05,0.66,0.58,0.87,0.89,
稀释每股收益,0.41,0.22,0.06,0.64,0.42,0.27,0.09,0.71,0.52,0.34,0.05,0.66,0.58,0.87,0.89,
