报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),24780,117193,80403,51938,27432,92542,74564,41964,21640,235120,219848,168805,3929,15718,12010,8275,3551,12845,9748,6337,2903,16421,12614,8224,3411,11793,8549,5758,2833,10888,9144,8724,
营业收入(万元),24780,117193,80403,51938,27432,92542,74564,41964,21640,235120,219848,168805,3929,15718,12010,8275,3551,12845,9748,6337,2903,16421,12614,8224,3411,11793,8549,5758,2833,10888,9144,8724,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),21634,96235,68090,46451,24898,119765,95258,64049,33123,173022,130028,88890,2366,9341,6665,4524,1980,8345,6130,4144,1941,8003,5906,3855,2024,6744,4889,3493,1828,6190,5669,6501,
营业成本(万元),7853,34018,23656,15132,7586,25154,19993,10788,6225,55639,48924,36349,1208,4499,3355,2230,889,3584,2771,1846,836,4114,3187,2054,887,3346,2443,1671,809,2910,2650,3826,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1100,5193,3473,2387,1144,4773,3228,2007,701,11854,10591,8080,7,106,77,49,21,85,69,47,21,114,82,49,19,83,62,42,21,40,80,100,
销售费用(万元),8829,43705,31248,22402,12727,74112,58926,43031,22297,92205,61734,38629,388,1395,1024,728,377,1593,1203,821,385,1287,948,653,345,1161,866,599,287,944,836,648,
管理费用(万元),3782,12790,9188,6133,3111,13610,11648,7489,3604,14992,10444,6749,1069,4428,3019,2034,1000,4338,3072,2074,1014,3805,2690,1749,984,3036,2058,1403,646,2240,2040,1641,
财务费用(万元),45,422,504,383,301,2139,1466,791,292,-1755,-1730,-984,-306,-1111,-833,-555,-305,-1236,-972,-647,-319,-1327,-1008,-675,-211,-901,-566,-241,54,12,52,280,
资产减值损失(万元),25,108,23,13,29,-23,-2,-57,3,87,64,67,-1,25,23,38,-2,-19,-14,4,4,9,7,25,-1,18,26,19,10,43,10,7,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-3,3,-14,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,--,2,475,7,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3197,23487,13946,6814,2534,-27222,-20694,-22086,-11484,62098,89819,79915,1562,6377,5345,3751,1571,4500,3618,2193,961,8419,6708,4369,1387,5049,3661,2265,1005,4696,3953,2216,
营业外收入(万元),23,181,2563,2483,114,6502,6239,2967,2879,3844,3020,1328,28,243,189,20,12,365,152,64,14,485,80,54,3,410,201,100,55,293,142,157,
营业外支出(万元),3,386,10,10,10,55,19,19,6,1,0,0,--,16,13,13,11,9,2,2,2,3,3,0,--,17,1,--,--,5,3,30,
非流动资产处置损失(万元),--,--,--,--,--,16,6,6,3,1,--,--,--,13,13,13,11,4,--,--,--,3,--,--,--,5,--,--,--,--,--,--,
利润总额(万元),3217,23282,16499,9288,2638,-20776,-14474,-19137,-8611,65941,92840,81242,1590,6604,5520,3757,1573,4856,3768,2255,974,8901,6784,4423,1390,5442,3860,2364,1060,4984,4093,2344,
所得税费用(万元),649,5017,3116,1470,586,-6073,-4030,-4651,-2253,15921,22737,19956,239,903,833,514,236,668,573,346,146,1202,903,549,209,793,535,310,159,692,546,386,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2567,18265,13382,7817,2052,-14702,-10444,-14486,-6357,50020,70103,61286,1351,5700,4687,3244,1337,4188,3195,1908,828,7699,5881,3874,1182,4648,3326,2054,901,4293,3546,1958,
归属于母公司所有者的净利润(万元),2567,18265,13382,7817,2052,-14702,-10444,-14486,-6357,50020,70103,61286,1351,5700,4687,3244,1337,4188,3195,1908,828,7699,5881,3874,1182,4648,3326,2054,901,4293,3546,1958,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,56841,--,56841,--,--,--,--,--,--,--,--,--,--,5881,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.04,0.22,0.16,0.08,0.02,-0.16,-0.12,-0.16,-0.07,0.56,0.78,1.37,0.08,0.36,0.29,0.2,0.08,0.26,0.2,0.12,0.05,0.48,0.37,0.48,0.15,0.62,0.45,0.29,0.11,0.72,0.59,0.33,
稀释每股收益,0.04,0.22,0.16,0.08,0.02,-0.16,-0.12,-0.16,-0.07,0.56,0.78,1.37,0.08,0.36,0.29,0.2,0.08,0.26,0.2,0.12,0.05,0.48,0.37,0.48,0.15,0.62,0.45,0.29,0.11,0.72,0.59,0.33,
