报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),135303,251989,579703,292892,
营业收入(万元),--,--,--,--,
利息收入(万元),68896,128499,178682,69777,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),71836,179509,466690,203018,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),583,2064,921,1106,
营业总成本(万元),61543,121003,219611,126690,
营业成本(万元),--,--,--,--,
利息支出(万元),45482,92246,106097,27731,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),4,454,1104,263,
营业税金及附加(万元),1239,8250,34325,15537,
销售费用(万元),62935,109587,183094,110614,
管理费用(万元),--,--,--,--,
财务费用(万元),--,--,--,--,
资产减值损失(万元),-2634,2711,1089,275,
公允价值变动收益(万元),3292,1710,-14593,15290,
投资收益(万元),36242,32301,53982,31426,
对联营企业和合营企业的投资收益(万元),-207,-320,-187,-126,
汇兑收益(万元),-64,153,118,6,
期货损益(万元),--,--,--,--,
托管收益(万元),1536,972,3781,6121,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),73759,130986,360092,166202,
营业外收入(万元),752,1581,268,721,
营业外支出(万元),1130,513,-869,1039,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),73381,132055,361229,165884,
所得税费用(万元),15959,27945,89062,39758,
未确认投资损失(万元),--,--,--,--,
净利润(万元),57422,104110,272166,126125,
归属于母公司所有者的净利润(万元),57408,104110,272166,126125,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),14,--,--,--,
基本每股收益,0.27,--,--,--,
稀释每股收益,0.27,--,--,--,
