报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),52739,33100,17727,67062,48936,32689,16702,68002,62224,61289,56072,
营业收入(万元),52739,33100,17727,67062,48936,32689,16702,68002,62224,61289,56072,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),43843,27248,14256,55203,39216,26003,13472,56260,50901,47924,43387,
营业成本(万元),36542,22485,11656,44744,31627,20745,10417,46755,42726,41223,38624,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),725,445,258,842,586,278,145,491,485,614,506,
销售费用(万元),3096,1816,834,4546,3188,2167,1033,3805,3398,2515,1325,
管理费用(万元),3413,2345,1128,4307,3150,2185,1156,4815,4112,3411,2592,
财务费用(万元),-339,-235,-43,-218,-111,-72,-24,-202,-83,-43,63,
资产减值损失(万元),406,392,424,982,776,700,744,596,262,204,278,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),212,67,40,310,228,124,31,111,33,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9108,5919,3511,12169,9947,6810,3261,11854,11356,13365,12685,
营业外收入(万元),128,76,44,124,38,37,37,291,543,211,210,
营业外支出(万元),26,2,0,63,25,19,1,54,15,21,60,
非流动资产处置损失(万元),24,--,--,57,22,17,--,43,14,2,54,
利润总额(万元),9211,5993,3555,12230,9960,6828,3296,12091,11884,13554,12835,
所得税费用(万元),2325,1517,931,3086,2504,1712,758,3076,3040,3448,3221,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6886,4477,2624,9144,7456,5116,2538,9014,8844,10106,9614,
归属于母公司所有者的净利润(万元),6886,4477,2624,9144,7456,5116,2538,9014,8844,10106,9614,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.3,0.2,0.13,0.51,0.41,0.28,0.14,0.5,0.49,0.56,0.54,
稀释每股收益,0.3,0.2,0.13,0.51,0.41,0.28,0.14,0.5,0.49,0.56,0.54,
