报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),56623,42544,27810,14126,62878,45360,30927,13202,51239,35044,23841,12257,57572,45201,30433,17057,61581,41905,27158,13529,45043,--,19853,8797,33733,30612,27068,13885,
营业收入(万元),56623,42544,27810,14126,62878,45360,30927,13202,51239,35044,23841,12257,57572,45201,30433,17057,61581,41905,27158,13529,45043,--,19853,8797,33733,30612,27068,13885,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),54924,40772,26454,13458,55334,39717,25742,11118,47499,32974,21998,10991,47604,36508,23895,12160,42351,27196,17741,8870,27891,--,11474,5062,18261,17987,17676,9500,
营业成本(万元),40806,30946,19833,9854,39490,27890,17898,7824,34729,24663,17328,8528,36950,26464,16619,7928,29426,18711,12571,6577,19695,--,8804,4099,14691,13406,12774,7498,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),12183,8042,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),886,571,453,205,883,639,441,214,728,374,246,117,743,600,463,179,162,34,34,34,250,--,--,--,24,165,75,16,
销售费用(万元),201,115,79,44,214,169,92,43,241,170,107,52,252,208,128,36,197,99,60,43,170,--,72,36,226,160,256,154,
管理费用(万元),3935,3534,7383,3315,14917,10805,7346,3361,13952,8946,5137,2289,13161,12115,8839,5218,13272,9249,5500,2466,7399,--,2425,916,3745,4013,4541,1763,
财务费用(万元),-3207,-2443,-1309,53,-133,253,-24,-221,-2296,-1201,-826,-11,-3210,-2673,-1961,-1157,-792,-922,-460,-255,150,--,169,11,-465,225,26,63,
资产减值损失(万元),120,7,14,-14,-36,-38,-11,-103,145,22,6,14,-293,-206,-193,-45,87,24,37,6,227,--,4,--,40,17,3,5,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),48,119,239,159,260,161,135,135,484,442,255,123,747,460,435,112,326,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8780,3393,2688,1244,10669,7681,6134,2219,4224,2512,2098,1389,10716,9153,6973,5008,19556,14710,9417,4659,17153,--,8379,3735,15472,12625,9392,4385,
营业外收入(万元),--,--,--,--,2,113,93,518,1860,1460,915,456,4951,3358,2378,823,2784,1161,709,292,971,--,97,48,1090,346,651,1222,
营业外支出(万元),781,--,4,--,115,115,--,--,385,385,--,--,2371,1346,1346,--,1,1,0,--,1,--,1,--,1,0,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,385,385,--,--,2327,1336,1336,--,1,1,0,--,1,--,1,--,1,0,--,--,
利润总额(万元),7999,3393,2685,1244,10556,7679,6227,2737,5698,3586,3012,1845,13296,11164,8005,5832,22339,15869,10126,4951,18122,--,8475,3783,16562,12971,10043,5607,
所得税费用(万元),887,353,263,199,987,1212,975,408,423,560,420,236,1968,1599,1101,892,2708,2312,1495,760,2749,--,1232,588,2771,1503,969,516,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7112,3040,2422,1046,9569,6468,5252,2328,5275,3026,2592,1609,11328,9565,6904,4940,19631,13557,8630,4191,15373,--,7243,3195,13791,11468,9074,5091,
归属于母公司所有者的净利润(万元),7112,3040,2422,1046,9569,6468,5252,2328,5275,3026,2592,1609,11328,9565,6904,4940,19631,13557,8630,4191,15373,11303,7243,3195,13791,11468,9074,5091,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.31,0.13,0.11,0.05,0.42,0.29,0.23,0.1,0.23,0.13,0.11,0.07,0.5,0.42,0.3,0.22,0.88,0.61,0.39,0.21,0.81,--,0.38,0.17,0.73,0.61,0.5,--,
