报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),173329,68783,317068,223399,139275,62821,242958,173467,116683,58404,234284,172140,114093,52899,205581,148964,99704,43415,165210,118765,73822,36673,138650,102633,69875,33691,123596,88693,61034,31724,112732,81199,111454,122433,62532,
营业收入(万元),173329,68783,317068,223399,139275,62821,242958,173467,116683,58404,234284,172140,114093,52899,205581,148964,99704,43415,165210,118765,73822,36673,138650,102633,69875,33691,123596,88693,61034,31724,112732,81199,111454,122433,62532,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),159198,65641,291275,207402,128157,61627,221810,158626,106012,57106,223495,164448,109059,52009,199558,144326,97173,43828,163390,116643,72728,34848,129442,93552,63366,31146,108426,77524,52105,25466,92422,64880,90632,103125,48793,
营业成本(万元),134452,53757,242933,175146,107502,50879,178534,127310,84959,46614,180245,135195,90051,43076,163194,119148,80502,35723,133210,96924,60731,29836,108142,81156,55320,26887,91162,65662,43689,21546,77403,53850,80764,89256,40826,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
