报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2011-09-30,
营业总收入(万元),668027,455197,180787,784071,618422,447691,201721,729653,560074,418863,596008,456337,420290,229953,317821,209852,
营业收入(万元),668027,455197,180787,784071,618422,447691,201721,729653,560074,418863,596008,456337,420290,229953,317821,209852,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),571594,373799,142202,684325,531321,372700,160839,624454,474476,362952,534834,406694,350799,163353,252105,159585,
营业成本(万元),525427,342536,131257,621695,491251,347091,144344,558207,429425,334012,473562,345026,248554,131398,171940,116620,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),8214,5733,2543,11416,7845,5521,3116,10598,7872,4919,7476,9569,10762,--,8422,--,
销售费用(万元),8451,4798,2294,12415,8104,4350,2127,10712,7909,4027,9918,8844,32457,14877,26537,17287,
管理费用(万元),30567,17941,8222,44437,29228,16957,8219,42632,27665,15806,37719,35932,42921,16334,39789,22784,
财务费用(万元),-7950,-5192,-2480,-7500,-4354,-3030,-843,-3274,-1592,-849,-217,392,1579,744,2930,2894,
资产减值损失(万元),6885,7982,366,1861,-752,1810,3874,5580,3198,5037,6375,6932,14527,--,2487,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),5607,3609,1410,11774,7529,5794,1074,9126,6660,5323,4027,5228,996,1886,478,3372,
对联营企业和合营企业的投资收益(万元),2416,2650,1350,10359,6871,5535,1014,8258,5942,4579,3041,3286,871,--,136,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),110135,89320,39995,111520,94630,80784,41956,114324,92258,61234,65202,54870,70487,56818,66194,47123,
营业外收入(万元),1574,560,1889,28602,11837,8551,1675,23986,11030,9055,17091,12462,9434,1648,9586,7829,
营业外支出(万元),292,257,70,966,84,60,14,1768,737,705,180,571,61,--,4665,--,
非流动资产处置损失(万元),245,244,69,815,25,12,5,484,21,18,89,437,12,--,4574,--,
利润总额(万元),111417,89623,41813,139156,106382,89276,43617,136542,102550,69584,82112,66762,79860,58466,71114,54952,
所得税费用(万元),27315,22021,10445,32764,24826,20494,10541,32904,23053,16842,21531,17607,20380,15721,18585,7963,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),84102,67602,31368,106392,81556,68782,33076,103638,79497,52741,60581,49155,59480,42745,52529,46989,
归属于母公司所有者的净利润(万元),70802,60082,28822,91745,69059,60523,28938,86832,66847,45046,49371,42822,55994,37838,51469,46989,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,798,--,
少数股东损益(万元),13301,7520,2547,14646,12497,8260,4138,16806,12651,7696,11210,6333,3486,--,1060,--,
基本每股收益,0.38,0.32,0.15,0.59,0.48,0.43,0.21,0.62,0.48,0.32,0.35,0.31,0.4,--,0.37,--,
稀释每股收益,0.38,0.32,0.15,0.59,0.48,0.43,0.21,--,0.48,0.32,--,--,--,--,--,--,
