报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),69374,45916,19710,85271,61559,39878,18639,88138,76772,45064,26306,
营业收入(万元),69374,45916,19710,85271,61559,39878,18639,88138,76772,45064,26306,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),48419,32157,13658,66658,47993,31350,14150,73067,65411,38431,20785,
营业成本(万元),39003,26279,10944,54065,38932,25289,11809,60615,54461,30750,16902,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),26,17,7,68,11,7,3,23,10,284,296,
销售费用(万元),5495,3564,1427,7195,5159,3275,1457,7621,6835,3922,1868,
管理费用(万元),3922,2100,791,4061,3015,1987,820,4188,4053,3375,1214,
财务费用(万元),-169,-122,3,70,19,11,-1,45,7,-2,-1,
资产减值损失(万元),143,319,485,1200,858,781,61,575,46,102,507,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1695,984,108,1017,977,777,259,1226,689,635,429,
对联营企业和合营企业的投资收益(万元),369,243,95,--,375,247,84,--,--,384,317,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),24852,14957,6159,19630,14543,9305,4748,16296,12051,7268,5950,
营业外收入(万元),53,42,25,1768,1482,30,12,1871,1694,1083,873,
营业外支出(万元),250,0,--,149,97,63,4,79,990,298,1,
非流动资产处置损失(万元),0,0,--,8,7,7,4,27,3,7,1,
利润总额(万元),24655,14999,6184,21250,15928,9272,4755,18088,12755,8053,6821,
所得税费用(万元),6332,3821,1496,5544,4031,2333,1192,4437,2990,2294,2039,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),18323,11178,4688,15706,11897,6940,3563,13651,9765,5759,4782,
归属于母公司所有者的净利润(万元),17742,10833,4575,15190,11567,6703,3433,13012,9769,6044,4804,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),582,346,112,516,330,237,130,639,-4,-285,-22,
基本每股收益,1.49,0.97,0.46,1.52,1.16,0.67,0.34,1.3,0.98,--,--,
稀释每股收益,1.49,0.97,0.46,1.52,1.16,0.67,0.34,1.3,0.98,--,--,
