报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),41486,147778,113286,75752,33622,121782,95036,66264,29706,115107,91474,58395,29398,98398,77726,51298,27996,89326,69416,44886,27187,88960,71919,46536,88613,69447,51756,
营业收入(万元),41486,147778,113286,75752,33622,121782,95036,66264,29706,115107,91474,58395,29398,98398,77726,51298,27996,89326,69416,44886,27187,88960,71919,46536,88613,69447,51756,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),35493,130032,97822,65651,29640,110027,84238,60189,27157,106769,83436,53771,26882,86736,67754,44741,23923,74662,57193,38199,22756,76891,62571,40702,78241,61136,45806,
营业成本(万元),26585,96557,73720,49090,21796,81297,63643,45172,19822,79829,63004,40293,20790,68331,53792,34979,18664,60310,48215,31422,18977,63947,52834,34169,67510,53534,40908,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),444,1734,1368,855,345,1254,629,472,206,876,690,439,213,708,567,381,219,623,491,324,205,609,481,326,616,400,267,
销售费用(万元),4663,17723,12001,7875,3471,15050,10198,7140,3549,15279,11322,7616,3228,9761,6746,4487,2326,6823,5050,3345,1851,6035,4337,2878,4709,2937,2200,
管理费用(万元),3808,14110,10355,7435,4063,12108,9964,7187,3593,11676,9194,6004,2812,10114,7990,5843,3031,9097,5345,3678,2208,5969,4557,3047,4945,4164,2309,
财务费用(万元),-7,-264,-164,-145,-34,-251,-176,-224,-14,-1500,-938,-745,-160,-2215,-1381,-990,-317,-2230,-1924,-587,-484,286,329,250,429,86,49,
