报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),18782,77297,57375,37786,18813,65448,45643,30241,15292,53377,40157,27824,11271,40917,30578,20055,9227,44658,33192,23242,10918,36150,26802,17615,31807,29511,21408,
营业收入(万元),18782,77297,57375,37786,18813,65448,45643,30241,15292,53377,40157,27824,11271,40917,30578,20055,9227,44658,33192,23242,10918,36150,26802,17615,31807,29511,21408,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),13929,56349,41961,27049,12857,46362,33199,21881,11314,38909,29343,20205,8373,30434,22725,14968,6960,33168,24194,16948,7985,26900,20173,13066,24399,22624,16228,
营业成本(万元),11982,46086,35421,23005,11044,39470,28369,18926,9620,32832,25216,17441,7350,26562,19892,13040,6094,29720,21508,15044,7097,23117,17228,11173,20692,19303,13656,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),133,568,382,304,141,566,286,178,122,299,230,179,89,304,239,163,91,286,220,151,70,224,166,129,214,168,149,
销售费用(万元),223,1511,909,642,309,1369,1012,637,396,1172,814,507,238,997,690,410,235,981,740,502,239,813,595,379,740,688,583,
管理费用(万元),1458,7038,4439,2532,1288,5278,3501,2146,1073,4467,3015,1930,749,3139,2252,1549,709,2993,2140,1476,603,2614,1786,920,1966,1924,1362,
财务费用(万元),102,494,336,193,-192,-540,-287,-188,-76,-179,-227,-192,-139,-723,-527,-393,-275,-833,-492,-399,-150,-19,187,307,822,554,285,
资产减值损失(万元),31,652,476,373,267,219,318,182,180,318,294,340,87,154,179,200,107,21,78,174,125,152,212,157,-34,-13,193,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),28,85,53,31,5,9,--,--,--,--,--,--,--,4,4,--,--,--,--,--,--,--,--,--,4,--,43,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4905,21874,16208,10812,5961,19095,12444,8360,3979,14468,10815,7619,2898,10487,7857,5087,2267,11490,8998,6294,2933,9250,6628,4550,7412,6887,5222,
营业外收入(万元),--,14,15,15,23,421,414,270,11,395,210,192,6,266,203,192,9,384,314,283,159,212,197,180,343,161,44,
营业外支出(万元),0,11,3,1,0,40,1,1,0,14,14,14,--,5,1,1,--,3,3,--,--,--,--,--,--,59,32,
非流动资产处置损失(万元),--,--,--,--,--,1,1,1,--,1,1,1,--,4,--,--,--,--,--,--,--,--,--,--,-27,-35,2,
利润总额(万元),4905,21878,16219,10826,5984,19476,12857,8629,3990,14849,11011,7797,2904,10749,8059,5278,2276,11871,9309,6577,3092,9462,6825,4729,7755,6990,5234,
所得税费用(万元),712,2801,2249,1634,894,2901,2011,1362,617,2269,1675,1258,444,1648,1219,795,342,1801,1415,999,465,1427,1042,728,1189,1072,844,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4193,19077,13970,9192,5091,16574,10845,7267,3373,12580,9336,6539,2460,9101,6840,4484,1933,10070,7894,5578,2627,8034,5784,4002,6566,5917,4390,
归属于母公司所有者的净利润(万元),4197,19057,13948,9212,5085,16528,10767,7189,3234,10960,8177,5866,2460,9101,6840,4484,1933,10070,7894,5578,2627,8034,5784,4002,6566,5917,4390,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-4,20,22,-19,5,47,78,78,139,1620,1159,673,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.1,0.45,0.33,0.22,0.15,0.52,0.34,0.23,0.16,0.55,0.41,0.29,0.12,0.46,0.68,0.45,0.19,1.01,0.79,0.56,0.26,0.94,0.72,0.53,0.88,0.84,1.08,
稀释每股收益,0.1,0.45,0.33,0.22,0.15,0.52,0.34,0.23,0.16,0.55,0.41,0.29,0.12,0.46,0.67,0.45,0.19,1.01,0.79,0.56,0.26,0.94,0.72,0.51,0.88,0.84,1.08,
