报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),4787,54916,30694,18342,6358,53114,31611,18102,7259,60754,31539,24051,6564,60328,36305,58536,46503,43316,
营业收入(万元),4787,54916,30694,18342,6358,53114,31611,18102,7259,60754,31539,24051,6564,60328,36305,58536,46503,43316,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4566,44953,26875,15872,5631,44088,25840,15192,5770,50029,27534,20777,5911,51049,33776,48641,38537,36258,
营业成本(万元),3651,40298,23384,13550,4677,38453,23822,13700,5348,43539,23703,18143,4597,44528,29638,42488,34094,32645,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),30,140,29,29,21,45,-93,-88,134,1497,629,398,128,1672,908,1801,1534,1343,
销售费用(万元),96,350,230,138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),916,5093,3330,2239,1002,3787,2495,1710,749,3392,2412,1658,748,3349,2461,3199,2661,1642,
财务费用(万元),29,-50,-88,-91,-70,164,58,-41,-166,470,308,208,153,688,507,703,188,-14,
资产减值损失(万元),-156,-878,-10,7,1,1640,-442,-88,-295,1131,483,370,284,812,261,450,59,642,
公允价值变动收益(万元),--,--,--,--,--,--,39,50,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,67,67,67,74,212,110,--,--,--,--,--,--,318,318,--,--,-40,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),250,10037,3886,2538,801,9238,5920,2960,1489,10725,4004,3274,653,9597,2847,9895,7966,7018,
营业外收入(万元),0,325,9,1,--,56,56,52,--,140,50,50,--,142,52,50,300,30,
营业外支出(万元),0,0,3,1,0,1,1,1,1,2,1,1,0,5,5,3,3,33,
非流动资产处置损失(万元),--,--,3,1,--,1,1,1,--,1,1,1,--,4,4,2,3,32,
利润总额(万元),250,10361,3892,2539,801,9293,5975,3011,1488,10863,4053,3322,653,9733,2894,9942,8264,7016,
所得税费用(万元),58,1621,601,399,107,1287,989,474,243,1531,627,518,108,1604,513,2383,2051,1915,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),192,8741,3291,2140,694,8005,4985,2537,1244,9333,3426,2804,545,8129,2381,7559,6212,5100,
归属于母公司所有者的净利润(万元),261,8966,3342,2162,702,8018,4986,2537,1244,9333,3426,2804,545,8129,2381,7559,6212,5102,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-69,-225,-51,-23,-8,-13,-0,--,--,--,--,--,--,--,--,--,--,-2,
基本每股收益,0.01,0.18,0.07,0.04,0.04,0.4,0.25,0.13,0.16,1.56,0.57,0.47,0.09,1.35,0.4,1.26,1.04,0.9,
稀释每股收益,0.01,0.18,0.07,0.04,0.04,0.4,0.25,0.13,0.16,1.56,0.57,0.47,0.09,1.35,0.4,1.26,1.04,0.9,
