报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),109036,538066,399401,222403,73563,359501,256974,152473,57607,371055,219187,137372,56869,313258,203187,139445,441398,497657,267901,62100,117067,97509,69982,
营业收入(万元),109036,538066,399401,222403,73563,359501,256974,152473,57607,371055,219187,137372,56869,313258,203187,139445,441398,497657,267901,62100,117067,97509,69982,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),106809,547433,396857,218441,71977,370856,283571,176787,61271,389844,230007,146533,61644,350874,230376,156430,451216,493898,255749,61157,115464,94014,67757,
营业成本(万元),100416,502344,372402,208671,69402,336965,239645,141325,53053,350613,205800,128326,52565,296343,193001,132711,426296,484505,258420,59872,113681,94507,68103,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),38,150,99,64,34,99,72,52,29,69,55,33,15,70,43,22,67,182,104,21,24,26,16,
销售费用(万元),1082,12093,4808,2061,738,3953,2819,1896,828,4376,2689,1724,742,6743,4299,2154,4844,4352,3330,448,551,777,489,
管理费用(万元),2531,12609,7989,4932,2318,10721,6378,3946,1919,8664,5795,3861,2144,6244,3958,2508,4268,3573,2401,803,971,627,329,
财务费用(万元),2553,5837,5362,2476,-574,18522,34712,29536,5857,25626,15484,12560,6223,41156,28781,18674,13018,451,-8777,-41,212,-1942,-1238,
