报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,
营业总收入(万元),916312,7545468,2648564,1939566,693974,6357283,3673201,2124818,452371,4922241,2551242,1909969,643302,4548595,2516461,3478242,2765182,
营业收入(万元),916312,7545468,2648564,1939566,693974,6357283,3673201,2124818,452371,4922241,2551242,1909969,643302,4548595,2516461,3478242,2765182,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),576698,5762868,2293978,1667088,620233,5138069,2907898,1717681,347845,3978722,2161225,1563678,500664,3666962,2084334,2659437,2051323,
营业成本(万元),463207,4703933,1944318,1439816,533337,4161714,2358890,1405536,235652,3067691,1654364,1233557,355291,2749181,1664058,1996748,1363640,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),81814,667290,164861,117301,34654,617106,318236,175646,50054,520379,258009,202234,78157,570928,243184,457891,460832,
销售费用(万元),18685,146770,69373,43225,17520,115989,70278,40581,24680,112430,64510,38693,17787,104263,56390,88086,85471,
管理费用(万元),26272,128163,75399,47410,24527,106614,68237,45071,24001,122673,66644,45932,25047,93216,63409,95465,80543,
财务费用(万元),-13318,83573,39859,19230,10113,141774,94264,50919,13394,154857,117514,43119,24472,92137,57207,56463,62811,
资产减值损失(万元),37,33139,168,105,81,-5128,-2008,-72,64,693,183,144,-89,57236,87,-35214,-1974,
公允价值变动收益(万元),-830,-1398,2711,2706,--,-5652,-3269,-3269,--,698,--,--,--,--,--,--,158,
投资收益(万元),383890,291005,288913,278685,249463,420261,176676,170859,9370,58509,52823,46334,2223,83369,73959,59222,24221,
对联营企业和合营企业的投资收益(万元),1088,23613,21551,16274,-1805,-124,11068,8136,--,13826,11596,7154,--,35491,24022,32049,2860,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),722772,2075198,646210,553869,323204,1633822,938710,574727,113896,1002727,442840,392625,144860,965002,506085,878027,738239,
营业外收入(万元),1149,15789,10446,9067,6730,21937,10263,4809,2202,44546,39140,37146,4142,28233,27115,14230,14315,
营业外支出(万元),842,17592,10645,4701,2548,7776,5048,3705,2919,6238,4863,4177,2723,23697,20921,4625,6166,
非流动资产处置损失(万元),--,--,136,58,47,98,44,35,6,452,2454,326,2120,306,6824,808,200,
利润总额(万元),723080,2073396,646011,558235,327385,1647984,943926,575832,113179,1041034,477117,425594,146279,969538,512279,887632,746388,
所得税费用(万元),140501,572460,185971,145920,79916,429295,231143,134926,34712,236377,144276,114858,51449,310961,143448,268472,211409,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),582579,1500936,460040,412315,247469,1218688,712783,440906,78467,804657,332841,310735,94830,658577,368831,619160,534980,
归属于母公司所有者的净利润(万元),577805,1222031,371810,346644,212188,958142,561068,382977,80152,485033,191047,179523,52895,320458,171909,278624,277982,
被合并方在合并前实现净利润(万元),--,-1090,-615,-615,--,--,--,--,--,--,--,--,--,800,--,1325,-1131,
少数股东损益(万元),4774,278905,88230,65671,35281,260547,151715,57929,-1685,319624,141794,131212,41935,338120,196922,340536,256998,
基本每股收益,0.73,1.55,0.47,0.44,0.27,1.21,0.71,0.48,0.1,0.88,--,0.33,0.1,0.58,--,0.51,0.51,
稀释每股收益,0.73,1.55,0.47,0.44,0.27,1.21,0.71,0.48,0.1,0.88,--,0.33,0.1,0.58,--,0.51,0.51,
