报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,
营业总收入(万元),73685,33030,158369,121255,78747,35074,117936,83978,51922,22929,92093,69196,46258,18926,90685,68844,41044,16418,68198,50165,29438,12092,50008,33978,17627,7436,29138,21996,14451,7225,26161,4812,18666,10481,
营业收入(万元),73685,33030,158369,121255,78747,35074,117936,83978,51922,22929,92093,69196,46258,18926,90685,68844,41044,16418,68198,50165,29438,12092,50008,33978,17627,7436,29138,21996,14451,7225,26161,4923,18666,10481,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),70720,31836,151444,115962,76246,34012,113673,80053,50304,21174,90282,67249,44454,18169,88436,64856,39123,15908,62691,45529,26569,11070,44750,29898,15444,6854,25633,18807,12012,5998,21089,4174,16140,8580,
营业成本(万元),60390,26974,128731,100331,65514,29090,95457,67915,41925,17890,77785,58480,38800,15576,75501,56152,33600,13666,54094,39636,22951,9456,38955,25969,13175,5756,21226,15479,9924,5015,18057,3658,13700,7068,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,
