报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
营业总收入(万元),2473757,10591470,7393290,4503764,2104614,10347000,7279779,4494957,2028525,8000897,4849357,3158237,1528250,5819588,4040860,2671571,1172387,5286328,3870449,2604093,1288387,4685377,3310894,2258201,1173427,4882692,3433409,2254466,1171034,4844842,1324653,4111391,2772721,1270393,2149655,872178,
营业收入(万元),2473757,10591470,7393290,4503764,2104614,10347000,7279779,4494957,2028525,8000897,4849357,3158237,1528250,5819588,4040860,2671571,1172387,5286328,3870449,2604093,1288387,4685377,3310894,2258201,1173427,4882692,3433409,2254466,1171034,4844842,1324653,4111391,2772721,1239414,2121121,862201,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,30979,28533,9977,
营业总成本(万元),2490917,10137332,7054544,4304289,2020911,9673951,6803125,4205585,1914607,7806158,4748307,3103074,1514870,5844336,4063982,2637526,1171180,5270822,3838313,2573377,1275229,4714696,3323262,2265462,1170212,4792032,3391748,2221336,1137264,4570669,1143972,3696353,2676678,0,1975367,804532,
营业成本(万元),2049661,8577548,5925104,3588539,1662573,8240090,5745415,3558844,1641955,6651356,3989019,2607575,1265960,4914389,3420217,2225382,972966,4474556,3266149,2189922,1083040,4015306,2824170,1904657,969223,4043879,2889167,1899196,971709,3917398,987061,3147976,2203230,1001330,1696353,680109,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,9834,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,9654,5234,
营业税金及附加(万元),45367,132948,85276,56194,31993,151172,92870,61633,30765,126733,88386,66093,33469,95744,65698,46408,21865,120353,86408,63309,35729,110921,80017,58402,34362,96971,57392,35235,17772,65966,24163,67362,30042,0,0,--,
销售费用(万元),117228,492529,353776,224895,105900,419634,286383,180405,60233,286799,173837,120113,61131,222876,159096,98581,47277,201185,140682,99111,46186,151180,108961,79165,42252,179976,122432,84727,48897,217588,50258,148774,93423,44609,64819,31861,
管理费用(万元),188340,678608,506689,312034,155691,684264,544091,302240,129848,541506,374228,230254,110484,443027,296523,192676,89870,331473,246102,158263,80637,318501,228482,158947,85616,345552,249118,160685,85585,330633,79802,277394,262699,72231,165700,58842,
财务费用(万元),81345,231440,162773,97481,37979,122219,99044,65728,28604,144600,103555,62864,40259,138913,103523,63704,31891,116026,84261,53246,24401,86362,55039,40086,18276,77130,56524,36060,11840,37014,4626,26918,69723,0,38842,18652,
资产减值损失(万元),8977,24259,20926,25145,26776,56573,35322,36736,23202,55165,19283,16175,3566,29388,18925,10776,7311,27230,14711,9526,5237,32426,27686,24205,20482,48525,17116,5434,1460,2070,-1937,27930,17561,0,0,--,
公允价值变动收益(万元),-18594,-11817,-226,-147,-46,-1821,-1599,-1316,-429,1821,0,--,0,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,0,91,0,0,0,--,
投资收益(万元),-337,-20605,-12032,-238,-276,-72603,-30772,-9321,-5101,121037,126171,-8934,-2702,6837,18967,-719,-860,-4841,-5391,-3493,8,-1119,-1094,71,844,50375,1385,-358,765,2577,496,1724,2976,0,0,--,
对联营企业和合营企业的投资收益(万元),-337,-22452,-13945,-1902,-308,-59982,-15474,-11480,-5240,-24280,-17792,-9081,-2702,-12239,-938,-1145,-860,-4841,-5391,-3493,8,-2450,-2425,-1260,-488,121,1385,-358,765,2555,496,1637,1596,0,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
营业利润(万元),24913,541055,410507,259544,83382,598625,444284,278735,108388,317597,227221,46229,10679,-17912,-4155,33326,347,10665,26745,27223,13166,-30437,-14556,-7190,4059,141035,43046,32773,34535,276750,181176,416853,99019,0,174288,0,
营业外收入(万元),7011,27903,16292,10515,20882,84433,57187,27562,9648,70324,53169,38905,10653,111432,77402,36277,12788,77569,47345,36806,6757,66203,45845,25764,9983,36739,27186,20122,4974,54916,14826,47454,44316,0,0,--,
营业外支出(万元),1368,6894,7235,5058,2101,26217,16441,5389,3183,8421,5835,2080,933,6125,4990,4710,1304,5026,2829,2190,1524,6694,4845,2640,697,5026,7552,3902,1705,17439,2645,13662,6937,0,0,--,
非流动资产处置损失(万元),--,--,3930,2788,820,13672,7692,2240,965,3605,1434,376,0,--,--,1638,858,1145,483,215,123,1395,956,1391,261,941,2489,1638,483,4105,1356,9206,2813,0,0,--,
利润总额(万元),30556,562064,419564,265001,102163,656841,485030,300908,114853,379499,274556,83054,20399,87395,68258,64893,11831,83208,71261,61839,18398,29073,26444,15934,13346,172748,62680,48993,37804,314227,193358,450645,136397,85010,174288,67646,
所得税费用(万元),4142,70371,73376,48485,24027,108840,87865,54001,25088,65679,56302,20634,5070,13408,6425,8735,3080,5622,8873,8213,2797,7784,12534,5519,7985,13241,11485,9539,5395,22368,14318,42801,8832,10737,4055,2981,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,
净利润(万元),26414,491694,346188,216516,78137,548001,397165,246907,89765,313820,218254,62420,15329,73987,61833,56158,8751,77587,62389,53626,15601,21289,13909,10415,5361,159508,51194,39453,32410,291859,179040,407844,127565,74273,170233,64665,
归属于母公司所有者的净利润(万元),10243,406648,279144,172291,60580,505215,366413,225970,85071,282344,196136,46666,12095,43353,38891,36069,1197,55306,46510,42694,11239,8138,2088,1627,2704,138463,35273,27536,26674,252341,170413,379358,102125,59566,161171,64100,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,0,0,0,--,
少数股东损益(万元),16172,85046,67044,44225,17557,42786,30753,20937,4694,31476,22118,15754,3235,30635,22942,20089,7555,22281,15879,10932,4362,13151,11821,8789,2657,21045,15921,11917,5736,39518,8627,28486,25440,14706,9062,566,
基本每股收益,0.02,1.4,0.96,0.59,0.2,1.88,1.38,0.87,0.32,1.12,0.79,0.19,0.05,0.18,0.16,0.15,0.01,0.23,0.2,0.18,0.05,0.03,0.01,0.01,0.01,0.6,0.15,0.12,0.12,1.11,0.75,1.77,0.5,0.29,2.99,1.19,
稀释每股收益,0.02,1.4,0.96,0.59,0.2,1.88,--,--,--,--,--,--,--,0.18,--,--,--,0.23,--,0.18,--,0.03,--,--,0.01,--,0.15,0.12,0,--,0,--,--,0,--,1.19,
