报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),11791,66784,45348,28693,8907,50810,32228,21537,6634,41071,27358,17086,6120,37862,25233,16291,4032,30864,--,12237,2767,23038,22686,20019,13395,
营业收入(万元),11791,66784,45348,28693,8907,50810,32228,21537,6634,41071,27358,17086,6120,37862,25233,16291,4032,30864,--,12237,2767,23038,22686,20019,13395,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10952,53745,36174,21861,7461,36283,22492,14720,5244,27934,19379,12154,5137,25908,17230,11399,3427,21088,--,8693,2350,16194,15625,13812,10286,
营业成本(万元),7008,36474,24886,14801,4841,25684,16240,10763,3670,19995,13760,8764,3396,18212,12184,8060,2046,14698,--,5889,1319,11005,10546,9491,7069,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),61,567,322,209,62,512,272,191,53,365,241,142,45,348,230,157,33,249,--,94,20,217,203,165,100,
销售费用(万元),1714,8938,6278,4154,1496,5402,3274,1971,724,3644,2687,1626,655,3557,2284,1520,581,2919,--,1204,323,2058,2321,1607,1594,
管理费用(万元),2269,8234,5280,3238,1478,5390,3304,2104,1011,4770,3364,2257,1224,4236,2911,1811,840,3443,--,1588,747,3074,2621,2530,1511,
财务费用(万元),-100,-619,-582,-532,-416,-873,-653,-365,-214,-890,-695,-656,-183,-467,-383,-152,-73,-213,--,-79,-58,-150,-24,-22,-5,
资产减值损失(万元),--,151,-9,-9,--,167,54,54,--,50,21,21,--,23,4,4,--,-8,--,-3,--,-9,-42,41,16,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1,1,--,
投资收益(万元),153,1112,1089,684,449,64,36,--,--,331,240,240,34,25,5,5,5,--,--,--,--,--,8,10,--,
对联营企业和合营企业的投资收益(万元),--,-8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),992,14342,10263,7515,1896,14591,9772,6817,1391,13467,8219,5173,1017,11978,8008,4897,610,9776,--,3544,417,6843,7068,6218,3110,
营业外收入(万元),304,664,381,105,87,121,86,13,4,633,604,534,3,307,366,239,--,315,--,--,--,334,417,319,21,
营业外支出(万元),--,104,41,21,12,33,26,17,27,31,11,-2,6,52,23,3,4,24,--,12,3,34,28,37,17,
非流动资产处置损失(万元),--,--,--,--,--,20,20,20,20,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),1296,14902,10603,7599,1970,14679,9832,6814,1369,14069,8812,5709,1015,12233,8352,5134,606,10067,--,3531,414,7144,7458,6500,3114,
所得税费用(万元),239,2283,1656,1214,335,2152,1435,993,205,1990,1238,807,154,1765,1196,744,111,1462,--,517,62,1022,1112,912,417,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1057,12619,8947,6384,1636,12527,8397,5821,1163,12079,7575,4902,860,10468,7155,4389,495,8605,--,3014,352,6121,6345,5588,2697,
归属于母公司所有者的净利润(万元),1137,12920,9111,6488,1730,12648,8440,5825,1163,12079,7575,4902,860,10468,7155,4389,495,8605,5151,3014,352,6121,6345,5588,2697,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,-13,--,-64,--,-37,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-80,-301,-163,-104,-94,-121,-43,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.13,1.47,1.04,0.74,0.2,1.48,1.01,0.71,0.14,1.46,0.92,0.59,0.17,2.05,1.41,0.87,0.1,1.91,--,0.67,0.08,1.36,1.41,1.24,--,
稀释每股收益,0.13,1.47,1.04,0.74,0.2,1.48,1.01,0.71,0.14,1.46,0.92,0.59,0.17,2.05,1.41,0.87,0.1,1.91,--,0.67,0.08,1.36,1.41,1.24,--,
