报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),173579,740873,518316,320342,122936,637965,440115,273418,117983,684715,423014,244844,98326,584695,363413,221480,85185,485563,334114,198626,72728,385094,195505,114591,46636,260163,184839,114702,48279,214442,151963,92487,29887,148342,101934,58485,161634,113236,84362,
营业收入(万元),173579,740873,518316,320342,122936,637965,440115,273418,117983,684715,423014,244844,98326,584695,363413,221480,85185,485563,334114,198626,72728,385094,195505,114591,46636,260163,184839,114702,48279,214442,151963,92487,29887,148342,101934,58485,161634,113236,84362,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),177063,739160,516850,319298,129096,621876,429466,263841,115762,657521,407207,234326,96312,562345,349196,211920,82917,465022,321870,189987,70719,369900,186175,109147,45837,250609,177737,109874,46888,205672,144077,87925,29445,141309,94808,54268,154582,107638,80714,
营业成本(万元),147606,639010,446398,274318,108012,537452,364009,221479,95671,582951,353610,202383,81626,498865,304585,187516,73410,411856,285578,168992,62601,324462,166721,96939,40608,222995,159855,98443,40947,183329,129034,79195,25918,124119,83907,48132,140396,97854,70216,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),830,2779,2063,1385,698,3147,1655,1197,562,2556,1690,1031,396,2082,1383,817,303,2055,1300,811,277,1490,643,357,144,968,582,357,160,746,481,311,112,641,502,332,648,364,486,
销售费用(万元),16573,44150,29938,20646,11634,39002,29094,19845,10824,33742,22498,13984,7240,23563,17041,10030,4686,22167,14058,8190,3686,22321,10992,7021,3381,17158,10483,7319,4384,14912,10535,5699,2512,11534,7227,3657,8541,6200,6732,
管理费用(万元),9788,44502,32402,19752,8621,36334,28837,18321,7936,33030,24747,14437,6347,30500,21076,10705,3998,21986,14964,8526,3284,13554,4447,2800,1017,5193,3427,2056,958,3274,1874,1286,743,2474,1572,982,2049,1492,1748,
财务费用(万元),2343,6294,4050,2342,903,3367,3023,2006,1002,3821,2786,2100,1161,5121,3716,2008,950,5095,3886,2642,1165,5502,2217,1420,542,3101,2296,1299,459,2094,1588,942,226,1650,1504,1051,2738,1311,1455,
资产减值损失(万元),-77,2425,1999,854,-772,2575,2848,993,-233,1421,1877,391,-458,2214,1395,845,-429,1863,2083,826,-294,2570,1154,610,145,1193,1094,400,-19,1315,565,491,-66,891,96,114,211,417,78,
公允价值变动收益(万元),-809,471,258,-19,--,5,--,--,--,-10,-6,-3,-3,-75,-77,-65,-34,-77,-157,-157,-42,200,166,166,--,-166,-316,52,--,--,34,-43,--,355,--,0,-9,0,-29,
投资收益(万元),-397,397,231,-6,-19,351,339,176,18,305,-103,15,-4,87,-10,17,17,150,158,150,55,-37,-56,-56,110,-7,113,13,1,236,162,81,81,247,247,165,-418,3,260,
