报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),203294,903164,618828,431800,245073,1281448,980959,648022,233304,888617,650615,409754,206390,794246,553531,329787,148291,698198,524488,334128,133163,464456,299733,204822,106388,395539,270030,171454,74659,333695,130306,90361,43529,168286,121740,76755,32719,158651,157014,
营业收入(万元),203294,903164,618828,431800,245073,1281448,980959,648022,233304,888617,650615,409754,206390,794246,553531,329787,148291,698198,524488,334128,133163,464456,299733,204822,106388,395539,270030,171454,74659,333695,130306,90361,43529,168286,121740,75268,32719,158651,157014,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,1486,0,--,--,
营业总成本(万元),212687,897614,611861,427652,242320,1239837,950932,628593,223567,861733,628843,394487,199154,765951,521864,308029,138392,649549,476283,298612,118096,411723,255031,171639,86747,327512,211565,134514,59536,248089,82132,60005,28845,121809,82214,48304,24400,122594,106905,
营业成本(万元),170154,756820,518998,367618,214371,1142706,874816,576856,197766,743166,542381,338252,172763,656756,444965,257896,114715,539440,396971,243954,90888,305669,181386,122970,61653,248775,164202,106150,47747,188827,58684,45285,21491,87451,62094,37960,18738,86140,83255,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,0,--,--,
