报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),34451,186325,125162,71821,26322,143303,95507,53043,19470,108198,73903,42065,15932,90108,61434,35777,13089,64967,45524,38488,
营业收入(万元),34451,186325,125162,71821,26322,143303,95507,53043,19470,108198,73903,42065,15932,90108,61434,35777,13089,64967,45524,38488,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),30974,148598,100606,60447,23993,115134,76046,43952,17708,90184,62241,36457,15355,73923,51333,31087,12769,53167,38399,33034,
营业成本(万元),21104,114886,76226,44323,16250,86008,57639,32150,12309,66902,46252,26649,10594,56464,38652,22761,8561,40539,29011,25631,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),332,2181,1444,815,237,1647,969,550,168,1036,685,381,101,788,539,306,77,619,424,322,
销售费用(万元),6377,21942,16175,10751,5252,19135,12152,7908,3807,15418,10621,6275,3137,12370,9104,6080,3078,8907,6634,5500,
管理费用(万元),3213,9744,6875,4609,2290,8235,5468,3441,1462,6193,4731,3127,1602,4400,3085,1983,1084,3089,2317,1497,
财务费用(万元),-102,-257,-171,-87,-45,-219,-174,-90,-37,-214,-163,-89,-48,-164,-110,-64,-32,-20,-14,85,
资产减值损失(万元),51,101,57,36,9,328,-7,-7,--,848,114,114,-31,65,63,20,--,33,27,-0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,0,
投资收益(万元),980,2259,1438,993,449,680,453,334,192,701,395,29,--,--,--,--,--,--,1,--,
对联营企业和合营企业的投资收益(万元),-37,-91,-17,0,-8,19,-7,-4,-2,-0,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4555,41073,25994,12368,2778,28848,19914,9424,1953,18715,12057,5637,576,16185,10100,4690,320,11799,7125,5454,
营业外收入(万元),76,228,576,524,214,1144,1038,256,8,529,158,46,24,398,380,367,4,194,6,17,
营业外支出(万元),276,548,353,254,14,493,375,275,0,143,2,1,0,97,95,94,8,212,2,13,
非流动资产处置损失(万元),--,--,169,75,14,244,173,173,--,104,--,--,--,42,42,42,--,39,--,12,
利润总额(万元),4355,40753,26217,12638,2979,29499,20577,9405,1962,19101,12214,5683,600,16485,10386,4963,316,11780,7130,5458,
所得税费用(万元),802,5954,3888,1802,412,4273,5205,2461,582,2857,1673,729,90,2220,1484,669,33,1725,1104,829,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3553,34800,22330,10836,2567,25227,15372,6944,1379,16244,10541,4954,510,14265,8903,4294,283,10056,6026,4629,
归属于母公司所有者的净利润(万元),3553,34800,22330,10836,2567,25227,15372,6944,1379,16244,10541,4954,510,14265,8903,4294,283,10056,6026,4629,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.11,1.15,0.74,0.37,0.09,0.86,0.52,0.24,0.05,0.58,0.38,0.55,0.06,1.94,1.21,0.58,0.04,1.37,0.82,0.63,
稀释每股收益,0.11,1.14,0.74,0.37,0.09,0.85,0.52,0.24,0.05,0.58,0.38,0.55,0.06,1.94,1.21,0.58,0.04,1.37,0.82,0.63,
