报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,
营业总收入(万元),64310100,54096700,40717200,26489200,65319500,54765200,40142400,27172800,54977100,45644800,34066400,21998100,51136700,42400700,33341100,19262000,44577300,34781200,24374000,15421400,42361300,34954100,25253800,13825000,40537900,32050400,22526000,13192500,38538800,31482600,23189400,14000600,38879100,30556700,21666000,12873300,34202600,28723100,20839600,11632500,34107400,28494500,20797200,11107300,28129400,22281900,16200800,9383200,22822000,12759700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
已赚保费(万元),53202300,45729500,34898500,23565700,50691000,43893700,33627000,24015200,42623000,36807800,28424200,19643000,36230100,30503200,22936000,15031000,33010500,26745800,19377500,12897000,32481300,27401900,20084400,11006800,32212600,26101300,18473900,11273700,31827600,26276800,19484900,12202400,31808800,25613300,18358900,10999000,27507700,23543400,17231000,10342900,29493900,24713900,18144500,10161000,19544000,15677200,12057600,7285600,17974900,10912400,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
其他业务收入(万元),782500,558800,394000,169700,735100,484300,321200,138800,635700,431800,264400,111700,486100,320600,205700,87200,386400,268700,182300,85500,356300,258100,174000,83000,316800,228900,146800,62900,267100,188800,126100,60300,264700,208700,116100,72800,253400,132900,88200,38100,201900,150100,107800,41500,189700,137000,94200,45800,207400,93200,
营业总成本(万元),62881400,51560700,38555800,24692400,61131300,51498600,38544900,26417200,52571500,43886800,32733100,21388000,46535400,37951400,29211200,17647800,40552000,31324700,22082400,14544200,39471000,32013700,23231100,12544800,39442400,31308700,21423200,12505400,36484200,29547700,21697800,13050100,34778000,27544900,19505900,11635900,30016400,26200500,19058400,10982900,33316900,27214200,19775700,10745000,24647500,19391000,14207300,8392200,21084200,11865400,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,
手续费及佣金支出(万元),6270500,4845200,3570700,1863500,6478900,4958100,3681400,2176300,5202200,4127800,3005600,1800400,3556900,2738100,1950900,1117000,2714700,2061200,1413500,774700,2569000,1990200,1380000,695400,2775400,2069900,1456900,784000,2743400,2106900,1534300,865700,2725600,2023600,1396200,749100,2293600,1750100,1228900,622700,2420000,1839500,1284100,574500,1605600,1237900,886800,452000,1464700,781600,
