报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),31624,20686,9404,33161,23884,14981,6736,24146,22779,10722,19454,17250,17032,
营业收入(万元),31624,20686,9404,33161,23884,14981,6736,24146,22779,10722,19454,17250,17032,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),19128,12417,5782,20058,14239,9349,4440,14998,14173,6629,12087,10579,9888,
营业成本(万元),13760,9070,4206,14993,10755,6842,3119,11324,11051,5099,9471,7999,7877,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),480,275,109,510,289,179,94,298,339,133,225,202,82,
销售费用(万元),1555,993,404,1597,1012,678,286,905,688,270,688,527,388,
管理费用(万元),3112,1924,970,3299,2451,1613,712,2433,2154,1060,1844,1873,1434,
财务费用(万元),-32,-75,-11,-759,-650,-278,-12,-141,-129,-33,-232,-134,13,
资产减值损失(万元),253,230,105,419,381,315,241,178,70,100,91,112,95,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),12913,8269,3622,13103,9645,5632,2296,9148,8606,4093,7367,6671,7143,
营业外收入(万元),324,293,47,492,808,89,33,282,428,247,423,548,50,
营业外支出(万元),36,18,15,28,20,9,2,23,18,1,64,12,54,
非流动资产处置损失(万元),--,--,--,5,5,4,--,--,--,--,52,--,38,
利润总额(万元),13201,8544,3654,13567,10433,5712,2327,9407,9016,4338,7726,7206,7140,
所得税费用(万元),1940,1276,546,1924,1596,843,346,1335,1293,656,1102,1034,1109,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11261,7267,3108,11643,8837,4869,1981,8072,7722,3683,6624,6172,6031,
归属于母公司所有者的净利润(万元),11261,7267,3108,11643,8837,4869,1981,8072,7722,3683,6624,6172,6031,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,1.2,0.78,0.33,1.66,1.26,0.7,0.28,1.15,1.1,0.53,0.95,0.88,0.94,
稀释每股收益,1.2,0.78,0.33,1.66,1.26,0.7,0.28,1.15,1.1,0.53,0.95,0.88,0.94,
