报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),9142466,6168234,3669161,1768150,7053135,5236280,3520099,1559856,4550107,3140753,1850208,721496,2867373,1948168,1225279,522006,3181085,2499407,1720362,765901,2935606,2320102,1413092,562591,2385711,1779675,1145377,606322,2387348,1773011,1075365,524471,1579568,1074265,705690,1017141,685596,612908,585824,
营业收入(万元),9142466,6168234,3669161,1768150,7053135,5236280,3520099,1559856,4550107,3140753,1850208,721496,2867373,1948168,1225279,522006,3181085,2499407,1720362,765901,2935606,2320102,1413092,562591,2385711,1779675,1145377,606322,2387348,1773011,1075365,524471,1579568,1074265,705690,1017141,685596,612908,585824,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业总成本(万元),8970127,5974353,3540977,1685580,6896239,5109171,3428708,1510574,4376501,3002743,1768149,703073,2830530,1959020,1215021,529149,3235152,2501293,1727055,786418,2925759,2311380,1407793,561323,2383079,1761439,1132930,568906,2186918,1577933,939593,437727,1367573,938859,624949,932497,638734,612556,562465,
营业成本(万元),8609747,5742008,3422793,1664908,6671478,4926426,3305752,1453102,4079676,2801362,1662221,671215,2658387,1856593,1163241,502225,3107777,2419909,1667367,757961,2846785,2257510,1381345,546996,2320697,1717980,1103731,554037,2145360,1552513,922881,428364,1321528,903774,599205,891324,610403,592909,543826,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,0,0,0,0,
