报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),82804,62541,43312,19005,63740,48575,33846,14057,58421,43105,30474,11509,53733,47417,47464,42343,
营业收入(万元),82804,62541,43312,19005,63740,48575,33846,14057,58421,43105,30474,11509,53733,47417,47464,42343,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),70082,52288,36249,16407,53677,40663,28500,12343,48847,36019,25428,9672,46205,42292,41575,38177,
营业成本(万元),57582,42612,29834,13518,45413,34153,23941,10065,41415,30349,21544,8124,38830,36084,36424,33647,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),883,695,387,179,509,219,193,57,376,309,234,70,339,173,225,176,
销售费用(万元),2093,1455,1060,487,1824,1370,942,293,1592,1041,706,250,1386,971,1041,782,
管理费用(万元),7750,5837,3960,1810,5967,4576,3028,1505,5168,3834,2383,1108,4687,3807,3379,2947,
财务费用(万元),1284,987,397,80,-779,-238,-141,231,-830,-619,-135,-163,168,835,270,525,
资产减值损失(万元),490,701,609,332,742,583,537,191,1127,1105,695,283,795,421,236,101,
公允价值变动收益(万元),129,-1,-1,-1,772,1073,1085,608,109,52,740,438,-880,-219,219,--,
投资收益(万元),400,407,407,213,550,-667,-714,-518,-585,-231,-75,-186,368,306,149,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13366,10767,7492,2810,11385,8319,5717,1805,9098,6908,5711,2089,7015,5213,6257,4166,
营业外收入(万元),10,0,0,35,317,445,404,25,422,357,58,21,458,155,61,46,
营业外支出(万元),20,1,1,0,88,80,47,32,59,43,30,11,57,64,35,89,
非流动资产处置损失(万元),--,1,1,--,29,23,3,--,1,--,--,--,1,12,--,19,
利润总额(万元),13356,10766,7491,2844,11613,8684,6074,1798,9460,7222,5739,2098,7417,5303,6283,4123,
所得税费用(万元),1771,1468,994,378,1577,1173,817,245,1281,976,792,289,1021,707,916,871,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11585,9299,6497,2466,10036,7511,5257,1553,8179,6245,4947,1809,6396,4596,5367,3252,
归属于母公司所有者的净利润(万元),11585,9299,6497,2466,10036,7511,5257,1553,8179,6245,4947,1809,6396,4596,5367,3252,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.58,0.46,0.32,0.25,1.09,0.85,0.63,0.21,1.09,0.83,0.66,0.24,0.85,0.61,0.72,--,
稀释每股收益,0.58,0.46,0.32,0.25,1.09,0.85,0.63,0.21,1.09,0.83,0.66,0.24,0.85,0.61,0.72,--,
