报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),97904,57713,27599,5445,80731,33867,19773,6027,46807,26027,16811,2901,34249,19851,14405,1510,32332,--,14233,1312,28059,14062,24183,21892,
营业收入(万元),97904,57713,27599,5445,80731,33867,19773,6027,46807,26027,16811,2901,34249,19851,14405,1510,32332,--,14233,1312,28059,14062,24183,21892,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),79797,46431,27223,7286,72477,33102,20290,8069,44546,24851,15348,4034,31446,18016,13108,2611,24542,--,11998,2264,21205,--,18272,16991,
营业成本(万元),53567,32518,18444,3319,53827,21341,13460,4931,31611,17331,10748,2034,22782,12697,9353,937,16814,--,8810,898,15415,--,12637,12968,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2222,312,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),958,595,344,114,725,359,229,87,399,167,132,65,259,147,111,34,447,--,182,41,235,--,442,196,
销售费用(万元),5697,3184,1971,921,4095,2652,1618,750,2871,1649,961,444,2875,1780,1203,668,2025,--,775,348,1548,--,1321,1020,
管理费用(万元),15847,9301,5785,2879,11922,7772,4597,2274,8652,5353,3479,1560,5614,3768,2436,1223,5436,--,2290,1057,4022,--,3635,2769,
财务费用(万元),-271,-68,126,155,58,-32,-69,-54,-220,-207,-151,-108,-585,-692,-574,-279,-458,--,-232,-113,-335,--,-124,-25,
资产减值损失(万元),1776,589,552,-103,1850,1011,454,82,1233,558,179,40,501,316,579,27,277,--,172,34,320,--,360,63,
公允价值变动收益(万元),329,629,629,629,-561,68,68,69,-160,-396,-58,-369,93,-7,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1243,989,612,544,1760,651,493,-35,444,-197,-546,-537,1297,71,81,11,99,--,56,--,-0,--,--,15,
对联营企业和合营企业的投资收益(万元),23,23,43,--,-115,-72,-47,-50,-3,-2,-1,-0,--,-2,-3,--,-2,--,-1,--,-0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),21691,14045,2427,-247,11160,2044,321,-2008,2545,582,858,-2039,4193,1899,1378,-1090,7888,--,2291,-953,6853,1825,5912,4916,
营业外收入(万元),326,247,111,98,157,732,113,87,1670,1086,809,315,2659,1571,1140,574,2136,--,954,294,2289,--,2272,1962,
营业外支出(万元),174,167,9,1,230,47,37,21,11,6,3,1,61,49,46,28,13,--,8,7,10,--,36,92,
非流动资产处置损失(万元),--,--,--,--,--,12,2,1,6,5,3,0,--,11,11,--,7,--,--,7,--,--,--,--,
利润总额(万元),21844,14126,2529,-151,11087,2729,397,-1943,4205,1662,1664,-1724,6791,3422,2472,-544,10012,--,3237,-666,9132,3247,8148,6785,
所得税费用(万元),4860,2233,304,-178,1883,-23,-189,-318,-118,-333,57,-474,684,387,255,-190,1395,--,537,-101,1236,--,1066,814,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),16984,11893,2224,27,9204,2752,586,-1624,4323,1994,1607,-1250,6108,3035,2218,-354,8617,--,2700,-565,7896,2664,7082,5971,
归属于母公司所有者的净利润(万元),17252,12227,2398,124,10303,3328,864,-1429,5147,2386,1823,-1226,6314,3172,2295,-318,8689,4333,2747,-542,7949,2723,7107,5970,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-268,-334,-174,-97,-1099,-575,-278,-195,-824,-391,-216,-25,-206,-136,-78,-36,-72,--,-47,-24,-54,--,-25,1,
基本每股收益,0.35,0.25,0.05,0,0.25,0.08,0.01,-0.04,0.51,0.24,0.18,-0.12,0.63,0.32,0.23,-0.03,1.16,--,0.37,-0.07,1.06,--,0.95,0.8,
稀释每股收益,0.35,0.25,0.05,0,0.25,0.08,0.01,-0.04,0.51,0.24,0.18,-0.12,0.63,0.32,0.23,-0.03,1.16,--,0.37,-0.07,1.06,--,0.95,0.8,
