报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),88499,82654,70404,1679892,1362332,893749,443284,1902766,1153309,526555,253252,798333,348658,224822,104531,541760,425512,312107,164560,395436,265600,71258,23915,94266,71343,51606,21595,90825,71655,48804,21297,85975,66354,48631,19936,87021,67397,43301,13933,138233,123103,92403,33071,84833,57751,35920,11062,43935,34314,22288,7695,
营业收入(万元),88499,82654,70404,1679892,1362332,893749,443284,1902766,1153309,526555,253252,798333,348658,224822,104531,541760,425512,312107,164560,395436,265600,71258,23915,94266,71343,51606,21595,90825,71655,48804,21297,85975,66354,48631,19936,87021,67397,43301,13933,138233,123103,92403,33071,84833,57751,35920,11062,43935,34314,22288,7695,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),207080,146237,75652,1621026,1310488,860407,427254,1848903,1109103,500677,240760,784428,341761,220670,102909,530554,415974,305735,162782,392112,262306,69516,23354,93889,71427,52178,21987,99392,75252,50692,21573,97744,68009,48244,19347,85364,61979,38570,12726,116979,93971,69584,25692,76588,52392,32360,10426,40077,30570,19910,7243,
营业成本(万元),78856,75505,64853,1607572,1302653,855016,423839,1825436,1100967,494575,237181,761678,329934,212842,99778,519237,407245,299073,159713,377775,250358,60503,19532,80382,61788,44914,19584,85045,65883,44701,19414,83068,59714,43164,17787,71922,61790,40758,14821,93086,83938,63066,23353,65450,44849,28245,8913,34056,26581,17580,6308,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,0,--,--,0,--,
