报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),1686507,1077806,464633,1747699,1224702,770934,327795,1464008,1079128,676619,288810,1475538,1099455,692026,302056,1282941,932403,579500,235725,944837,702029,1184194,659589,452646,
营业收入(万元),1686507,1077806,464633,1747699,1224702,770934,327795,1464008,1079128,676619,288810,1475538,1045059,652497,284848,1282941,932403,579500,224330,944837,702029,1184194,659589,452646,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,54396,39529,17208,--,--,--,11394,--,--,--,--,--,
营业总成本(万元),1570210,1011374,435618,1660100,1186050,755052,318363,1442948,1051823,650447,274192,1441086,1088182,684151,300538,1283531,925344,575759,235849,922423,680921,1107385,604202,434310,
营业成本(万元),1501173,970233,418959,1586070,1134674,721717,305612,1376030,1007658,625963,263226,1396667,1003540,625944,274971,1247785,899625,559988,217543,893605,660471,1085725,590835,425343,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,50815,36940,15741,--,--,--,10913,--,--,--,--,--,
营业税金及附加(万元),3462,1863,762,2853,772,592,184,1025,921,602,239,1401,924,498,96,665,404,94,24,619,392,1733,472,231,
销售费用(万元),5140,3703,1318,7016,4379,3439,817,5290,3381,1613,968,3953,2950,1852,940,2698,1822,981,444,2053,1371,1516,1000,845,
管理费用(万元),46720,25373,8193,37912,26643,16258,6887,31152,19432,12038,4633,23894,17676,11090,4574,21949,16821,10449,4600,21859,15550,15741,11344,6790,
财务费用(万元),12904,9250,4774,26066,19009,12941,5487,27805,20049,10096,4923,15640,12464,8014,4252,9781,6676,4253,2329,4109,3123,2350,584,1070,
资产减值损失(万元),811,951,1613,184,574,107,-625,1647,381,134,203,-470,-188,-188,-36,653,-4,-4,-4,178,15,319,-32,32,
公允价值变动收益(万元),405,412,361,-301,111,72,111,-132,23,-14,-489,-260,-238,368,-66,-13,-199,-251,-83,484,233,-194,-42,3,
投资收益(万元),948,-217,-683,628,643,302,105,2802,1866,1277,424,2225,3399,1547,1225,1516,152,80,16,-891,-897,1317,426,448,
对联营企业和合营企业的投资收益(万元),383,285,71,266,248,173,82,394,243,157,88,260,123,89,--,155,74,46,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),119259,67529,28693,87925,39406,16256,9648,23730,29195,27436,14553,36417,14433,9789,2677,912,7012,3570,-191,22006,20444,77932,55771,18787,
营业外收入(万元),2410,1168,900,6319,3200,1579,692,16293,14026,11481,10928,3983,3171,1344,355,4092,2237,897,620,2651,1723,3283,2132,1247,
营业外支出(万元),682,7,2,1302,1090,720,385,1765,1199,731,315,1366,1357,864,381,1542,1162,665,260,1112,840,1657,688,635,
非流动资产处置损失(万元),444,4,1,75,28,28,--,48,42,2,2,59,--,--,--,47,--,--,--,--,--,170,6,151,
利润总额(万元),120987,68690,29591,92942,41516,17115,9955,38259,42022,38187,25165,39034,16248,10269,2651,3462,8088,3802,170,23546,21328,79558,57214,19399,
所得税费用(万元),26244,15009,6549,18342,7292,3201,1871,6185,7489,7547,5378,7370,692,376,20,-1518,-340,-429,-9,2823,3182,13014,4179,885,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),94743,53681,23042,74600,34225,13914,8084,32075,34533,30639,19787,31664,15556,9893,2631,4981,8427,4231,179,20723,18146,66544,53035,18514,
归属于母公司所有者的净利润(万元),93167,52633,22620,73156,33380,13372,7828,30448,32948,29295,18959,29139,14614,9429,2584,4535,7857,3786,44,17620,15882,56161,41050,14391,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1576,1048,422,1443,845,541,256,1626,1585,1344,828,2525,943,464,48,446,570,445,135,3102,2265,10383,11985,4123,
基本每股收益,1.64,0.96,0.43,1.39,0.64,0.25,0.15,0.58,0.63,0.56,0.36,0.56,0.61,0.4,--,0.19,0.33,0.16,--,0.74,--,2.92,2.76,0.97,
稀释每股收益,1.64,0.96,0.43,1.39,0.64,0.25,0.15,0.58,0.63,0.56,0.36,0.56,0.61,0.4,--,0.19,0.33,0.16,--,0.74,--,2.92,2.76,0.97,
