报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),146339,77651,30798,130278,90238,60556,26179,109031,65177,40473,10322,26235,13693,7282,
营业收入(万元),146339,77651,30798,130278,90238,58533,26179,106401,65177,39360,10160,25801,13372,6984,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,2023,--,2630,--,1113,162,434,321,298,
营业总成本(万元),133766,71871,28950,108888,75749,51567,23408,86361,52971,35179,10086,21659,12348,6879,
营业成本(万元),104490,55982,21988,88499,62058,42581,18945,65907,39712,26155,7283,15197,8682,5153,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,702,--,1120,--,156,22,115,225,145,
营业税金及附加(万元),582,473,261,822,461,312,109,575,242,116,83,150,35,11,
销售费用(万元),3112,1812,846,3174,2079,1322,599,2185,1364,1286,484,991,423,334,
管理费用(万元),21448,11726,5683,15599,11166,7003,4083,12842,9629,5976,2073,3825,1842,897,
财务费用(万元),2524,1283,530,706,752,528,591,1541,1125,836,317,928,687,235,
资产减值损失(万元),1612,594,-358,88,-767,-881,-920,2190,898,655,-176,454,454,105,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),408,322,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13044,6167,1848,21390,14489,8989,2770,22671,12206,5294,236,4576,1344,403,
营业外收入(万元),421,164,50,540,247,173,124,859,501,131,108,906,39,--,
营业外支出(万元),20,19,0,17,14,3,2,35,39,32,13,422,--,--,
非流动资产处置损失(万元),4,3,--,1,0,0,--,5,2,25,--,411,--,--,
利润总额(万元),13445,6312,1898,21913,14722,9160,2892,23495,12668,5393,331,5059,1383,403,
所得税费用(万元),1607,575,-126,3023,2212,1912,635,3671,1942,896,123,796,295,81,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11838,5736,2024,18890,12510,7247,2257,19824,10726,4498,208,4264,1088,322,
归属于母公司所有者的净利润(万元),11838,5736,2024,18890,12510,7247,2257,19824,10726,4498,208,4264,1088,322,
被合并方在合并前实现净利润(万元),--,--,702,--,--,--,-784,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.42,0.3,0.1,1.2,0.79,0.46,0.11,1.25,0.68,0.28,0.03,--,--,--,
稀释每股收益,0.42,0.3,0.1,1.2,0.79,0.46,0.11,1.25,0.68,0.28,0.03,--,--,--,
