报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),7066,25379,18201,11426,5751,25874,18704,12781,5712,26614,19098,12467,5647,27889,19798,26803,30519,27065,
营业收入(万元),7066,25379,18201,11426,5751,25874,18704,12781,5712,26614,19098,12467,5647,27889,19798,26803,30519,27065,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),5881,21399,15363,9551,4657,21430,15455,10615,4693,20709,14871,9731,4468,21653,15400,21002,23555,20739,
营业成本(万元),4852,16222,11862,7472,3733,16636,12045,8339,3872,16247,11972,8010,3815,17628,12655,16695,18992,16972,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),107,370,262,172,79,259,141,101,28,233,153,103,48,236,155,210,251,176,
销售费用(万元),421,2912,1879,955,325,2450,1619,1016,313,1906,1295,680,134,1597,1052,1511,1626,1756,
管理费用(万元),530,2511,1689,1149,605,2594,1896,1306,556,2644,1655,1096,510,2377,1643,2567,2586,1670,
财务费用(万元),-65,-643,-356,-211,-112,-503,-252,-163,-94,-327,-217,-159,-54,-185,-114,-5,126,142,
资产减值损失(万元),36,28,28,14,26,-6,6,17,17,6,12,1,14,-0,8,23,-27,22,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
投资收益(万元),83,722,258,126,52,116,93,67,24,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1284,4792,3096,2001,1146,4561,3341,2232,1043,5905,4227,2736,1179,6236,4398,5801,6964,6326,
营业外收入(万元),--,40,56,56,55,142,142,21,21,368,138,127,127,525,433,301,331,21,
营业外支出(万元),0,13,13,9,1,9,7,0,0,84,2,1,0,45,1,9,1,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,1,1,1,--,--,
利润总额(万元),1284,4818,3138,2048,1200,4693,3476,2253,1064,6188,4362,2863,1306,6716,4831,6093,7294,6345,
所得税费用(万元),191,695,508,348,207,613,505,336,153,872,649,430,195,1059,733,823,1005,790,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1093,4124,2630,1699,994,4080,2971,1917,910,5316,3713,2433,1111,5657,4098,5269,6289,5555,
归属于母公司所有者的净利润(万元),1093,4124,2630,1699,994,4080,2971,1917,910,5316,3713,2433,1111,5657,4098,5269,6289,5557,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-59,
少数股东损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,-2,
基本每股收益,0.09,0.34,0.22,0.14,0.08,0.34,0.25,0.16,0.08,0.59,0.41,0.27,0.12,0.63,0.46,0.59,0.7,1.14,
稀释每股收益,0.09,0.34,0.22,0.14,0.08,0.34,0.25,0.16,0.08,0.59,0.41,0.27,0.12,0.63,0.46,0.59,0.7,1.14,
