报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),274415,182812,141574,71766,306076,222701,136593,50704,363166,295348,200295,72732,849680,670785,603920,201918,367483,258156,150647,78744,196413,124566,77360,41113,126797,81182,70542,35309,104025,69858,82129,57393,193647,110568,56887,35670,205286,123625,86657,43762,3234,3302,2882,862,6706,5633,3730,896,5834,4658,3085,959,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,3234,3302,2882,862,6706,5633,3730,896,5834,4658,3085,959,
利息收入(万元),124665,-13165,66375,-4722,128782,2150,64797,13188,138570,38685,77567,10091,192694,72889,119165,20525,93177,26287,40728,-843,46018,11863,23755,5526,26182,13943,18234,4652,33587,20094,16004,6111,20736,9145,7606,2957,13956,7979,6202,2369,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,26712,--,--,--,36532,--,192303,--,63956,--,338424,--,70570,--,128265,--,52612,--,62156,--,--,--,46254,--,15256,107158,79475,58608,36890,122744,74418,48693,23575,113949,83223,49873,19853,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),33960,1321,1116,142,2418,1798,1537,581,1541,909,795,471,1381,413,254,93,539,139,131,333,7033,66,29,18,3382,2940,245,78,665,335,122,67,454,255,122,85,478,673,193,135,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),252605,147101,104151,37645,217456,144372,87113,48696,247406,169689,102915,29968,423070,298268,250597,73195,202886,137487,77781,42066,119790,65298,43895,23938,88428,56824,35110,14283,82080,60814,40628,18823,89274,58894,37087,18141,80466,49719,32923,14411,6018,6620,5340,1773,14189,12185,9143,1971,18635,10134,7666,1867,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,2922,3120,2652,815,5716,5101,3160,907,4918,3917,2541,872,
利息支出(万元),169470,--,72641,--,150533,--,62041,--,135133,--,79780,--,171310,--,104157,--,73348,--,32878,--,33368,--,14277,--,6287,--,8700,--,6555,--,3000,--,4245,0,1695,0,2800,0,1054,0,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,
其他业务成本(万元),34247,767,633,111,1160,1028,911,76,542,891,747,609,656,466,433,324,581,233,155,72,4820,356,232,115,1392,983,252,128,508,380,272,105,846,253,169,84,338,245,25,13,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2737,1872,1386,601,2669,1929,1121,416,12266,11544,11094,5470,52401,41403,31381,9906,22154,14106,8127,4740,11115,6742,4799,2953,6566,4790,3261,1378,7334,6208,4533,2802,10192,5023,3014,1488,10204,6153,4213,1701,107,91,76,28,210,151,102,34,194,145,94,33,
销售费用(万元),178008,120172,77734,37152,208213,138205,82416,48137,233262,166033,99339,28138,326681,256760,218790,62910,171926,109243,61595,37254,102503,58183,38857,20870,78307,51051,31597,12777,84926,64929,46526,26584,78142,53551,33838,16568,69696,43320,28685,12697,260,118,93,42,695,428,319,63,582,426,378,174,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,2154,1453,1063,481,2229,1660,1174,517,7709,1876,1373,655,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,193,1308,927,407,1826,1373,916,416,2403,1668,1178,132,
资产减值损失(万元),37614,24289,24398,-220,5414,3210,2665,67,1337,-8778,-8265,-4249,43333,-361,-6,55,8226,13904,7904,--,1352,17,7,0,2163,--,--,--,-10689,-10704,-10704,-10669,94,67,67,0,228,0,0,0,382,530,530,--,3513,3472,3472,33,2829,2102,2102,0,
公允价值变动收益(万元),-268,7316,-6030,-2269,-7714,-1899,-12759,-10104,-28522,5092,-7137,5495,-6515,-65988,-7900,17502,30214,37561,36995,7948,-13412,13225,-6663,-9752,54299,20688,35602,16926,-48433,-51774,-6457,4524,-10500,3600,-9148,5839,4517,-1435,3092,10835,--,--,--,--,--,--,--,0,--,--,--,0,
投资收益(万元),168312,97048,86325,57203,199986,124162,82559,12566,137059,56038,55242,-5129,394802,321736,342269,93217,124856,66156,24491,18657,88781,37352,32680,20023,-24232,-2719,-7538,-1602,17805,21901,16948,9843,64576,23216,11326,3206,75188,33186,28352,10566,-356,-315,-286,-243,-103,-82,-76,-8,-70,-160,-114,-99,
对联营企业和合营企业的投资收益(万元),17528,15715,12624,3960,19300,12634,10534,4624,15187,11934,6284,503,26271,22185,20795,1986,15811,8103,4478,182,14599,11058,6985,2002,11577,7480,4249,1348,6674,4837,3443,535,9854,6413,4575,1076,8372,6955,3410,0,--,--,--,--,--,-96,-90,0,--,-156,-105,0,
汇兑收益(万元),-5991,-5699,-5771,-5393,-11105,-8171,-4628,-2058,8331,2321,1836,-2153,7891,3310,-114,11,-310,-253,8,37,-130,-95,-74,-14,40,76,64,-1,-202,-172,-96,-42,-117,-66,-18,7,-2,-1,1,3,--,--,--,--,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),7395,7360,5772,2948,8392,8363,5256,2544,11304,8855,4837,1826,68252,64624,60570,1229,10131,6814,5211,1904,5823,4050,3123,1893,3406,2543,1559,908,3975,3011,1630,976,306,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),21810,35712,37423,34122,88621,78329,49481,2008,115760,125659,97380,42765,426610,372518,353323,128723,164596,120669,72865,36679,76623,59268,33465,17175,38369,24358,35433,21026,21946,9044,41501,38570,104373,51674,19801,17529,124820,73907,53734,29350,-3141,-3634,-2745,-1154,-7586,-6634,-5489,-1082,-12871,-5635,-4695,-1007,
营业外收入(万元),143,14,7,0,99,226,182,57,4037,449,337,160,8776,7697,6274,-0,1928,360,286,17,930,165,128,48,295,245,132,24,11866,15001,2082,1221,430,375,207,213,3922,76,6,2,7606,186,184,3,53,50,0,0,747,128,48,22,
营业外支出(万元),511,454,51,5,4456,4330,3709,23,7143,7141,85,4,1111,41,34,7,96,-75,37,3,6640,61,47,34,146,133,39,147,294,40,28,4,271,249,244,115,1510,386,352,1,128,79,16,0,19,10,3,2,450,14,11,3,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,6,--,0,--,--,--,0,
利润总额(万元),21442,35272,37379,34117,84264,74225,45953,2042,112653,118967,97632,42920,434274,380174,359563,128715,166429,121104,73114,36693,70913,59373,33546,17188,38518,24470,35526,20903,33518,24005,43556,39788,104532,51800,19764,17628,127233,73596,53388,29351,4337,-3527,-2577,-1151,-7552,-6593,-5491,-1085,-12575,-5521,-4657,-988,
所得税费用(万元),-80,5249,5838,7997,15176,13957,8616,-180,21383,10340,9601,5926,79768,69792,74368,31492,31749,30983,18356,9130,7270,8363,2722,3780,4277,4244,7287,4857,7250,3844,10052,10030,24004,11451,3645,4571,26516,13415,10325,7340,0,0,0,0,--,2,2,0,6,--,--,0,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),21523,30024,31541,26120,69088,60267,37337,2222,91270,108627,88031,36994,354506,310383,285195,97224,134680,90122,54758,27563,63643,51009,30824,13408,34241,20226,28238,16046,26268,20161,33504,29758,80528,40349,16119,13057,100716,60181,43063,22011,4336,-3528,-2578,-1151,-7552,-6595,-5493,-1085,-12581,-5521,-4657,-988,
归属于母公司所有者的净利润(万元),22684,29698,30469,26185,66880,59053,36671,2389,91757,105656,86037,34382,355465,310994,284250,96522,133905,89064,54191,27225,63033,50539,30433,13338,34241,20226,28238,16046,26268,20161,33504,29758,80528,40349,16119,13057,100716,60181,43063,22011,5314,-3423,-2478,-1141,-7077,-6140,-5070,-1080,-12240,-5262,-4458,-902,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-1162,325,1072,-65,2208,1214,666,-166,-487,2971,1995,2612,-959,-611,945,701,775,1057,568,338,610,470,390,70,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,-978,-105,-99,-10,-475,-455,-422,-5,-341,-259,-200,-85,
基本每股收益,0.04,0.05,0.05,0.05,0.12,0.1,0.06,0,0.16,0.19,0.15,0.06,0.63,0.55,1.01,0.34,0.49,0.33,0.2,0.11,0.27,0.22,0.13,0.06,0.15,0.09,0.12,0.07,0.11,0.09,0.14,0.13,0.39,0.2,0.08,0.07,0.54,0.32,0.23,0.12,0.22,-0.14,-0.1,-0.05,-0.29,-0.25,-0.21,-0.04,-0.5,-0.21,-0.18,-0.05,
稀释每股收益,0.04,0.05,0.05,0.05,0.12,0.1,0.06,0,0.16,0.19,0.15,0.06,0.63,0.55,1.01,0.34,0.49,0.33,0.2,0.11,0.27,0.22,0.13,0.06,0.15,0.09,0.12,0.07,0.11,0.09,0.14,0.13,0.39,0.2,0.08,0.07,0.54,0.32,0.23,0.12,0.22,-0.14,-0.1,--,-0.29,-0.25,-0.21,-0.04,-0.5,-0.21,-0.18,-0.05,
