报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),82486,52982,22975,86814,63513,40892,18312,73237,32666,62636,49897,46267,
营业收入(万元),82486,52982,22975,86814,63513,40892,18312,73237,32666,62636,49897,46267,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),74236,48317,21248,79551,57693,37611,17811,67078,30479,56734,46556,42395,
营业成本(万元),63701,41333,18123,66310,47996,30844,14435,54148,14095,45272,18861,15020,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),548,338,168,1452,1287,1121,795,2875,1274,2272,2424,2362,
销售费用(万元),3533,2273,947,3894,2834,1963,907,3190,12335,2887,20140,20216,
管理费用(万元),6544,4352,1994,7889,5533,3672,1718,6878,2776,6228,5082,4842,
财务费用(万元),-219,-57,-21,-172,-103,-81,-34,-124,-41,30,-6,-35,
资产减值损失(万元),130,78,38,179,146,92,-10,111,40,46,55,-10,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-41,-7,-13,-5,--,--,--,1801,1801,-4,105,26,
对联营企业和合营企业的投资收益(万元),-54,-20,-16,-8,--,--,--,-59,1797,-98,24,-64,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8209,4657,1714,7258,5821,3281,501,7960,3988,5898,3446,3899,
营业外收入(万元),427,260,74,1605,1109,808,600,1100,249,934,881,513,
营业外支出(万元),3,3,1,29,2,1,1,12,2,20,6,4,
非流动资产处置损失(万元),2,1,1,0,0,0,--,1,--,18,--,--,
利润总额(万元),8634,4915,1786,8835,6929,4088,1100,9048,4236,6812,4321,4408,
所得税费用(万元),2140,1295,509,2477,1888,1167,383,2281,1053,1705,1341,1282,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6494,3620,1277,6358,5041,2921,717,6767,3183,5107,2980,3126,
归属于母公司所有者的净利润(万元),5683,3214,1165,6155,4716,2737,684,6583,3214,5053,2989,3118,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),810,407,112,203,325,184,33,184,-31,54,-9,8,
基本每股收益,0.38,0.24,0.09,0.46,0.35,0.2,0.05,0.49,0.24,0.37,--,--,
稀释每股收益,0.38,0.24,0.09,0.46,0.35,0.2,0.05,0.49,0.24,0.37,--,--,
