报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),23169,73573,54121,34158,16917,67124,50254,31230,15293,71765,52903,35349,19431,100790,72776,47062,22738,95165,69419,43494,22238,86724,61845,39682,19573,73106,52401,30602,16152,59860,43618,28857,13650,56528,41784,26972,13798,56886,42776,28148,14620,50090,35344,23274,12296,39593,30355,19596,8981,
营业收入(万元),23169,73573,54121,34158,16917,67124,50254,31230,15293,71765,52903,35349,19431,100790,72776,47062,22738,95165,69419,43494,22238,86724,61845,39682,19573,73106,52401,30602,16152,59860,43618,28857,13650,56528,41784,26972,13798,56886,42776,28148,14620,50090,35344,23274,12296,39593,30355,19596,8981,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),22074,69388,49338,30627,15505,63163,46091,28898,14938,66556,48847,32920,18562,96607,69811,44830,21822,91079,66537,41776,21284,82977,58333,37078,18934,67677,48499,28846,15526,58239,41934,27927,13036,54808,39297,25820,12969,52587,40045,26350,13778,46396,32766,21822,11638,37535,28224,18467,8408,
营业成本(万元),11267,41493,31069,20360,10563,43557,32963,20238,10472,50404,36846,25247,14577,79248,56327,35800,17844,75911,55438,34115,17322,58936,42518,26628,13429,46146,33790,19731,10935,42550,30488,20323,9203,37009,26143,16346,8062,36726,26743,17305,9112,32126,21452,14755,8234,25348,20181,12923,5676,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,
