报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),61522,45781,12795,51088,41291,31104,5514,53879,37857,28544,51042,57294,46689,33240,
营业收入(万元),61522,45781,12795,51088,41291,31104,5514,53879,37857,28544,51042,57294,46689,33240,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),52291,37367,9599,42756,34029,24289,4934,45198,31164,22628,44160,49550,38499,27822,
营业成本(万元),47106,34158,8402,34574,29440,21446,3719,36715,25660,19114,35656,40818,32934,23748,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),476,411,103,250,203,127,208,1732,1197,883,1604,1869,1529,1115,
销售费用(万元),378,185,23,317,223,104,28,137,92,63,159,254,248,71,
管理费用(万元),4140,2667,1393,4553,2948,1822,800,4099,2684,1817,4203,4281,2710,2050,
财务费用(万元),645,405,130,1804,1343,880,447,2074,1614,1134,1906,1725,1284,977,
资产减值损失(万元),-453,-459,-451,1258,-129,-90,-268,442,-83,-383,631,603,-207,-140,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),248,203,108,482,252,190,109,524,190,190,487,134,66,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9479,8618,3304,8815,7514,7004,688,9205,6882,6106,7370,7878,8256,5418,
营业外收入(万元),2163,2137,6,228,228,3,0,22,24,16,75,38,166,599,
营业外支出(万元),2248,2219,4,67,39,36,4,62,44,31,55,111,360,129,
非流动资产处置损失(万元),2130,2130,--,63,36,33,--,5,4,1,2,5,7,32,
利润总额(万元),9395,8536,3305,8976,7703,6971,685,9165,6862,6090,7390,7805,8063,5888,
所得税费用(万元),1409,1251,436,1781,1523,1824,196,2385,1715,1505,1827,2100,2251,1345,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7986,7285,2869,7195,6181,5147,489,6781,5146,4585,5563,5706,5812,4543,
归属于母公司所有者的净利润(万元),7986,7285,2869,7195,6181,5147,489,6781,5146,4585,5563,5706,5812,4543,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.24,0.22,0.22,0.65,0.6,0.51,0.05,0.68,0.51,0.46,0.56,0.57,0.58,0.45,
稀释每股收益,0.24,0.22,0.22,0.65,0.6,0.51,0.05,0.68,0.51,0.46,0.56,0.57,0.58,0.45,
