报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),387192,214098,116924,491786,383634,216284,126867,460179,346648,200010,118514,441448,338962,380052,317844,289150,
营业收入(万元),387192,214098,116924,491786,383634,216284,126867,460179,346648,200010,118514,441448,338962,380052,317844,289150,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),353871,200127,105333,459702,352800,200836,116174,428630,314107,183869,108437,419050,312110,364234,299191,270256,
营业成本(万元),267222,147481,79659,346800,276118,154698,91048,320830,236734,138287,82116,317219,239912,274805,228482,212493,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1498,901,313,2997,1225,929,542,2778,1946,1116,634,2729,1850,3185,3003,3093,
销售费用(万元),39474,23747,11167,54425,36061,21348,10123,48193,34872,19320,10334,43685,34198,35156,25922,20101,
管理费用(万元),38221,23898,10972,51575,35851,22541,11570,53788,35731,22461,11309,48975,33258,44672,38522,31862,
财务费用(万元),-683,-406,-78,-789,-785,-769,-341,-743,-112,-45,0,-212,-246,-254,-101,-403,
资产减值损失(万元),8140,4506,3301,4694,4330,2089,3232,3784,4936,2729,4043,6655,3137,6670,3363,3111,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),5548,3990,861,6275,4649,3377,1002,5878,3961,2690,1398,4501,2379,2462,3591,1370,
对联营企业和合营企业的投资收益(万元),154,142,59,293,150,172,-16,276,118,136,-3,15,-369,-9,-73,187,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),47830,25666,12452,38359,35483,18824,11695,37427,36503,18831,11475,26899,29232,18280,22245,20263,
营业外收入(万元),288,160,1030,12810,6012,3154,1487,7984,3957,1688,978,8637,5769,11837,6695,4670,
营业外支出(万元),349,222,76,714,353,260,49,295,233,190,133,199,156,379,905,868,
非流动资产处置损失(万元),16,15,21,25,8,8,1,127,121,119,111,20,12,30,91,--,
利润总额(万元),47769,25603,13406,50455,41142,21719,13133,45116,40227,20329,12321,35337,34845,29738,28035,24065,
所得税费用(万元),72,64,36,202,117,74,34,152,34,17,6,193,110,220,469,56,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),47697,25540,13370,50253,41025,21645,13099,44965,40192,20312,12315,35144,34735,29519,27565,24009,
归属于母公司所有者的净利润(万元),44589,21992,11116,42226,34684,18894,11087,37698,34200,17587,10572,30876,28778,25721,25665,23010,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,3,1089,--,
少数股东损益(万元),3108,3548,2254,8026,6341,2751,2012,7266,5992,2725,1743,4268,5958,3798,1901,998,
基本每股收益,0.53,0.27,0.14,0.53,0.44,0.25,0.16,0.58,0.53,0.27,0.16,0.48,0.51,0.4,0.39,0.35,
稀释每股收益,0.53,0.27,0.14,0.53,0.44,0.25,0.16,0.58,0.53,0.27,0.16,0.48,0.51,0.4,0.39,0.35,
