报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
营业总收入(万元),100042,485649,356780,217521,74464,390499,238174,171218,56240,321558,221453,136863,55836,300278,177311,100124,42315,193103,118819,69907,31262,136244,107797,57032,26863,152411,110228,69776,124795,56134,55387,37780,
营业收入(万元),100042,485649,356780,217521,74464,390499,238174,171218,56240,321558,221453,136863,55836,300278,177311,100124,42315,193103,118819,69907,31262,136244,107797,57032,26863,152411,110228,69776,124795,56134,55387,37780,
利息收入(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),102638,489055,351342,213904,74169,386559,232050,168133,54936,314217,210267,130636,54414,290539,168235,96380,41831,195368,123667,72577,32184,149495,115557,62694,31295,149920,106114,66265,115053,52989,49986,32974,
营业成本(万元),83005,400890,292575,178532,60224,319439,190806,140251,44776,261200,173491,109271,45571,251879,142699,80063,35142,167234,106337,63352,28443,125850,99070,52536,24769,129496,92486,57993,103422,48379,45428,29873,
利息支出(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),402,4318,2666,2077,386,3017,627,551,96,856,643,531,97,523,304,266,13,290,121,110,46,230,218,188,116,276,253,176,31,0,15,0,
销售费用(万元),2429,11154,6305,4423,1567,8451,4522,3142,1213,7567,5697,2928,1453,7462,4635,2822,1566,5038,3247,1592,864,3620,2378,1443,769,3381,2600,1719,3417,1276,1595,886,
管理费用(万元),5019,23738,17060,10551,3815,18772,10886,7017,3127,13741,10274,6503,2794,12770,8395,5388,2654,12780,9022,5338,2257,14563,9159,5925,3668,12664,8071,4440,6511,2383,2489,1234,
财务费用(万元),11794,45163,32250,18569,8310,34833,24988,16818,5856,30573,20565,11652,4707,16653,11495,7132,2456,9249,4559,1794,572,4832,4611,2582,1889,3945,2701,1932,1663,952,435,921,
资产减值损失(万元),-11,3793,487,-248,-133,2047,221,354,-132,281,-402,-250,-207,1253,706,708,1,777,381,391,2,399,122,21,84,158,4,5,8,--,24,60,
公允价值变动收益(万元),325,318,0,0,0,--,0,--,0,-57,-57,-57,25,57,--,--,--,--,--,--,--,-37,47,-17,6,273,251,226,-261,-79,25,--,
