报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),58090,206197,159908,100957,36055,174159,114043,73331,32201,182159,138857,86961,38002,159327,110124,67804,30885,133351,89360,146570,121229,
营业收入(万元),58090,206197,159908,100957,36055,174159,114043,73331,32201,182159,138857,86961,38002,159327,110124,67804,30885,133351,89360,146570,121229,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),55752,202260,156753,98640,35289,170353,111561,71228,31410,177330,135476,84441,37160,152837,106681,65628,30287,126910,85648,139211,112814,
营业成本(万元),48252,179506,138904,87881,31174,152717,97006,62473,27804,162065,122766,76468,33656,138577,95600,59012,26448,113393,75330,126200,102290,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),51,981,601,384,16,804,304,205,86,426,310,137,73,465,240,202,62,318,192,343,246,
销售费用(万元),1711,7361,5567,3472,1333,6536,4223,2620,1085,5900,4486,2973,1361,4999,3447,2079,1263,4207,3011,4520,3304,
管理费用(万元),3310,10305,6777,4257,1909,8295,7919,4513,1638,6580,4593,2929,1355,5484,4345,2715,1344,6048,4882,5493,4379,
财务费用(万元),830,3309,2418,1336,494,1298,984,633,316,2189,1793,1184,559,3121,2525,1657,658,2708,1901,2204,1874,
资产减值损失(万元),1599,797,2486,1311,364,703,1124,783,482,170,1529,749,156,191,524,-36,513,237,332,451,721,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-8,-30,--,--,--,-5,--,--,--,63,63,--,--,19,19,10,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
