报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,
营业总收入(万元),19051,5925,52284,22273,13805,3079,46969,18871,12281,4969,39189,22720,12916,4377,33255,15333,11946,4254,23685,12437,9824,2971,23146,14798,11365,5094,30009,22020,16650,6639,23401,16475,11554,15613,9930,9172,1618,8308,
营业收入(万元),19051,5925,52284,22273,13805,3079,46969,18871,12281,4969,39189,22720,12916,4377,33255,15333,11946,4254,23685,12437,9824,2971,23146,14798,11365,5094,30009,22020,16650,6639,23401,16475,11554,15613,9930,9172,1618,8308,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
营业总成本(万元),22465,9086,48246,24902,15593,5072,39179,19044,11321,4416,32558,18191,11083,3765,26574,13646,11399,3787,16844,10288,7036,2167,15307,9955,6493,2457,19630,14342,10708,4092,16986,11466,7566,11501,7316,7123,2066,6816,
营业成本(万元),10053,3203,30539,14153,8990,2217,27293,11800,7148,2741,21635,11464,6956,2137,18441,8170,7575,2639,11620,5581,4253,1662,10939,6420,4905,2128,14424,10472,8023,3308,12682,8240,5548,8442,5972,4991,1200,4627,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,
营业税金及附加(万元),153,102,610,232,161,35,398,61,19,9,228,91,46,1,337,135,98,2,161,86,79,16,236,183,154,64,311,219,156,66,211,155,94,88,73,121,22,100,
销售费用(万元),4977,2152,8612,5324,3252,1445,6648,4360,2559,1078,5902,3823,2518,1155,4981,3286,2139,1073,2491,1395,786,349,2130,1343,738,286,1827,1097,717,261,1353,942,634,1087,359,672,317,818,
管理费用(万元),6790,3322,8468,4890,3389,1612,6009,3601,2354,1088,5676,3072,2070,999,4945,2814,1848,906,5546,3725,2396,1119,4749,2778,1603,818,4189,2578,1897,561,2576,1903,1190,1880,887,1290,611,1047,
财务费用(万元),155,80,-556,-400,-216,-146,-1710,-700,-600,-444,-2069,-939,-721,-523,-2814,-1261,-984,-851,-2998,-1503,-1268,-936,-3443,-1576,-1318,-980,-2146,-723,-526,-150,-94,-66,-21,-12,-23,-67,-43,-12,
资产减值损失(万元),337,228,573,704,17,-90,539,-79,-158,-56,1186,680,214,-5,684,502,723,18,24,1004,790,-43,695,764,411,140,1026,700,442,46,258,291,120,15,48,115,-41,237,
