报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),290440,180566,107197,34067,235672,142204,90953,31537,203937,126374,78647,24035,153943,88246,52314,19812,175987,110486,70241,23759,139310,88697,52308,19019,101366,51590,31553,12197,74364,46787,29286,11499,45057,29253,16982,5506,30861,18057,3848,23080,17555,
营业收入(万元),286156,177801,105509,33280,233973,140940,90061,31086,202955,125713,78229,23837,153583,88034,52213,19777,175987,110486,70241,23759,139310,88697,52308,19019,101366,51590,31553,12197,74364,46787,29286,11499,45057,29253,16982,5506,30861,18057,3848,23080,17555,
利息收入(万元),4118,2693,1616,743,1630,1206,866,444,900,604,394,177,291,175,77,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
手续费及佣金收入(万元),166,72,72,44,68,57,26,7,82,57,24,21,69,37,24,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
营业总成本(万元),260886,160291,97469,31552,203021,120427,80288,28418,181063,109433,71131,22796,143495,87493,54797,19087,126845,74601,48415,19114,103992,61436,37514,16343,74666,37824,20979,8261,51199,27927,16168,8272,32121,19510,10873,4618,23103,12996,3571,18817,12977,
营业成本(万元),18826,9343,4208,1609,16203,9135,6503,1932,13542,6136,4116,1340,6183,3403,1714,891,6227,4219,1685,493,4237,2534,1580,523,3769,1581,874,322,1887,1205,743,280,1175,866,545,165,1142,647,99,1020,1001,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,
