报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),27047,74999,48417,26410,10821,61624,46907,30392,13688,60714,45660,29085,13231,58985,44027,27396,48021,39601,24502,
营业收入(万元),27047,74999,48417,26410,10821,61624,46907,30392,13688,60714,45660,29085,13231,58985,44027,27396,48021,39601,24502,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),20164,46592,27337,15395,6458,36911,26010,17122,8224,38831,27530,16889,7872,35594,26117,15766,29634,24853,15190,
营业成本(万元),3930,17597,12994,8492,3932,20329,14977,10100,4729,23827,18136,11690,5268,22503,16579,10423,18952,14776,12453,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),342,849,520,295,195,842,622,393,175,817,632,341,131,735,552,359,592,505,206,
销售费用(万元),13602,22102,10024,4356,1381,8883,6495,4367,1988,7825,5752,3084,1914,7675,5775,2906,6315,5718,749,
管理费用(万元),2176,5797,3658,2289,977,6988,3972,2361,1345,6802,4741,2733,1067,6291,4229,2718,4548,4109,1820,
财务费用(万元),-9,-111,-84,-63,-39,-128,-105,-81,-36,-487,-1764,-990,-531,-1621,-1054,-686,-790,-230,-48,
资产减值损失(万元),123,358,226,26,12,-2,48,-17,23,46,33,32,23,10,36,46,17,-25,9,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),130,4710,2691,1717,886,5183,2702,2125,1401,2372,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-178,-144,-337,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7024,33239,23806,12756,5248,29896,23599,15394,6865,24254,18130,12196,5360,23391,17910,11630,18387,14748,9312,
营业外收入(万元),--,11,37,26,55,169,84,60,12,82,46,44,13,218,143,32,552,690,642,
营业外支出(万元),--,111,11,0,--,45,45,1,0,12,10,0,--,1,1,1,257,1,66,
非流动资产处置损失(万元),--,--,--,--,--,10,13,--,--,--,--,--,--,1,1,1,224,--,--,
利润总额(万元),7024,33139,23832,12782,5303,30019,23637,15454,6876,24324,18166,12240,5373,23608,18053,11661,18682,15437,9888,
所得税费用(万元),1037,4986,3856,2254,774,4185,3505,2277,992,3401,2576,1704,780,3365,2647,1732,2607,2179,1418,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5987,28153,19976,10529,4529,25835,20133,13177,5884,20923,15590,10536,4593,20243,15406,9928,16075,13258,8470,
归属于母公司所有者的净利润(万元),5987,28160,19982,10531,4529,25841,20145,13181,5885,20927,15596,10539,4594,20257,15433,9949,16079,13257,8466,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1,-7,-7,-2,-0,-6,-12,-4,-1,-5,-6,-4,-1,-14,-27,-21,-3,1,4,
基本每股收益,0.25,1.17,0.83,0.44,0.19,1.08,0.84,0.55,0.25,1.99,1.56,1.17,0.51,2.25,1.71,1.11,1.79,1.47,1.02,
稀释每股收益,0.25,1.17,0.83,0.44,0.19,1.08,0.84,0.55,0.25,1.99,1.56,1.17,0.51,2.25,1.71,1.11,1.79,1.47,1.02,
