报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),143288,95692,35974,62667,59345,21202,
营业收入(万元),143288,95692,35974,62667,59345,21202,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),129591,78224,26666,49757,51768,17442,
营业成本(万元),127100,74613,24954,45480,48266,13991,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),458,252,32,78,70,168,
销售费用(万元),104,343,195,330,618,499,
管理费用(万元),1805,3427,1540,3257,2910,2483,
财务费用(万元),92,-264,-41,-63,-66,305,
资产减值损失(万元),32,-146,-14,675,-31,-3,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),18,123,69,56,237,154,
对联营企业和合营企业的投资收益(万元),0,3,-0,-13,22,101,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),13722,17590,9377,12966,7814,3913,
营业外收入(万元),70,28,8,30,24,126,
营业外支出(万元),28,173,167,8,65,10,
非流动资产处置损失(万元),23,35,29,3,64,3,
利润总额(万元),13764,17445,9218,12988,7773,4029,
所得税费用(万元),2455,2916,2101,2742,2081,936,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),11309,14529,7117,10246,5692,3093,
归属于母公司所有者的净利润(万元),11334,14577,7139,10246,5692,3100,
被合并方在合并前实现净利润(万元),--,--,--,148,-266,--,
少数股东损益(万元),-25,-47,-22,--,--,-7,
基本每股收益,1.89,2.43,1.19,1.71,--,--,
稀释每股收益,1.89,2.43,1.19,1.71,--,--,
