报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),9640,40538,29819,18992,8145,32936,24160,15368,6613,30717,21978,13720,6352,28348,20920,13586,5529,21135,15098,9127,3354,16236,12348,7593,3152,15051,11864,7452,12327,8683,7039,
营业收入(万元),9640,40538,29819,18992,8145,32936,24160,15368,6613,30717,21978,13720,6352,28348,20920,13586,5529,21135,15098,9127,3354,16236,12348,7593,3152,15051,11864,7452,12327,8683,7039,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),7952,32710,23092,15081,6871,25913,18028,11814,5401,25437,17058,10884,5286,21949,15566,10212,4583,15285,10495,6386,2639,12316,8802,5609,2396,11239,8474,5376,9258,6437,5715,
营业成本(万元),4428,18807,13218,8456,3539,14093,9715,6186,2767,13179,9267,5752,2773,11828,8448,5566,2367,7762,5408,3186,1278,5848,4400,2719,1115,5192,4086,2625,4451,3300,2643,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),103,553,323,200,75,474,240,140,49,333,214,123,45,212,143,82,31,159,115,69,27,110,79,49,21,131,91,52,65,52,44,
销售费用(万元),1644,5904,4294,3021,1685,5758,4071,2804,1507,5158,3670,2499,1190,5006,3726,2449,1314,3878,2870,1932,933,3486,2288,1395,492,3198,2199,1402,2428,1478,1324,
管理费用(万元),1841,7102,5231,3344,1574,5794,4354,2955,1398,5835,4274,2775,1460,5613,3780,2512,1249,4204,2733,1744,837,3074,2185,1469,785,2704,2087,1278,2289,1575,1663,
