报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),22193,14425,8077,32793,22404,17044,6137,32876,35070,34509,32489,
营业收入(万元),22193,14425,8077,32793,22404,17044,6137,32876,35070,34509,32489,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),16282,10470,5421,23625,16214,12284,3941,23469,25484,24569,22560,
营业成本(万元),14288,9192,4632,20688,14430,10838,3414,20770,22974,21950,19990,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),343,230,132,423,243,202,47,362,335,279,235,
销售费用(万元),331,242,135,405,293,201,101,400,473,442,405,
管理费用(万元),1606,1007,545,2071,1246,854,436,1755,1612,1733,1789,
财务费用(万元),-239,-148,-37,-55,-34,-28,-7,-29,-8,207,428,
资产减值损失(万元),-46,-53,14,94,36,218,-51,211,97,-41,-287,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),890,784,244,989,606,428,241,819,993,1230,890,
对联营企业和合营企业的投资收益(万元),701,662,180,921,553,384,197,789,993,1230,890,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6801,4772,2901,10157,6796,5188,2436,10226,10579,11170,10819,
营业外收入(万元),82,6,18,1077,1045,325,18,508,218,90,99,
营业外支出(万元),106,96,2,278,5,2,--,56,17,88,116,
非流动资产处置损失(万元),27,--,--,229,3,0,--,27,8,55,40,
利润总额(万元),6777,4682,2917,10955,7836,5511,2454,10678,10780,11173,10802,
所得税费用(万元),965,632,442,1581,1109,785,349,1553,1521,1502,1548,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5812,4050,2475,9374,6726,4726,2105,9125,9259,9671,9254,
归属于母公司所有者的净利润(万元),5812,4050,2475,9374,6726,4726,2105,9125,9259,9671,9254,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.14,0.1,0.06,0.22,0.18,0.12,0.06,0.24,0.49,0.51,0.49,
稀释每股收益,0.14,0.1,--,--,0.18,0.12,--,0.24,0.49,0.51,0.49,
