报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),6832,33111,23381,14513,6673,28156,21489,13853,6571,30946,23814,14201,7166,29878,22695,27811,24906,20177,
营业收入(万元),6832,33111,23381,14513,6673,28156,21489,13853,6571,30946,23814,14201,7166,29878,22695,27811,24906,20177,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),6179,27077,18873,11687,5616,22116,16387,10609,4879,23412,18063,10988,5307,23029,17487,21741,19484,15615,
营业成本(万元),4751,21548,15145,9439,4551,17460,12955,8357,4031,19196,14827,8989,4566,19735,15016,18596,16762,13658,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),63,290,227,151,71,279,169,108,54,271,212,120,54,208,157,136,100,116,
销售费用(万元),401,2299,1575,893,367,2021,1451,971,261,1918,1562,876,236,1109,815,1022,904,676,
管理费用(万元),1009,2979,1975,1310,673,2432,1874,1228,567,2266,1463,965,445,1892,1400,1849,1635,1117,
财务费用(万元),-53,-82,-68,-108,-56,-104,-71,-56,-36,-154,-113,-55,-17,-16,-9,119,75,52,
资产减值损失(万元),8,43,19,1,9,29,10,1,1,-85,111,93,23,101,108,19,8,-5,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),114,796,535,367,225,429,359,110,5,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),765,6830,5044,3193,1282,6469,5461,3353,1697,7534,5752,3212,1858,6848,5209,6071,5422,4562,
营业外收入(万元),8,432,372,150,44,464,305,105,48,194,130,88,72,58,16,135,75,1,
营业外支出(万元),--,39,28,14,1,116,11,0,0,--,--,--,--,5,4,2,1,--,
非流动资产处置损失(万元),--,--,15,1,1,11,6,0,0,--,--,--,--,4,4,1,--,--,
利润总额(万元),772,7223,5387,3329,1324,6817,5754,3459,1745,7728,5881,3301,1930,6902,5220,6204,5496,4563,
所得税费用(万元),101,1017,757,465,180,961,822,496,253,1111,840,468,275,1022,1259,831,645,516,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),671,6205,4630,2865,1144,5856,4932,2963,1492,6617,5041,2833,1655,5879,3961,5373,4851,4047,
归属于母公司所有者的净利润(万元),671,6205,4630,2865,1144,5856,4932,2963,1492,6617,5041,2833,1655,5879,3961,5373,4851,4047,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.03,0.29,0.22,0.14,0.05,0.38,0.23,0.14,0.16,0.92,0.7,0.39,0.23,0.82,0.55,0.75,0.68,0.7,
稀释每股收益,0.03,0.29,0.22,0.14,0.05,0.38,0.23,0.14,0.16,0.92,0.68,0.39,0.23,0.82,0.55,0.75,0.68,0.7,
