报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1974265,7834465,5686157,3723310,1797328,5563650,4174056,2735657,1245119,4462488,3159027,2122520,1111271,5253137,4040549,2756861,1387912,5397073,4058496,2638146,1292492,5134274,3769688,2432287,1198377,4596244,3347880,2225505,1119000,4500704,3327050,2185219,1089438,4201376,3098798,1402069,658484,2312314,1624845,1016214,485977,2259532,1770392,1160703,550728,2086026,1522519,964635,449940,1657072,1204758,793839,352086,
营业收入(万元),1974265,7834465,5686157,3723310,1797328,5563650,4174056,2735657,1245119,4462488,3159027,2122520,1111271,5253137,4040549,2756861,1387912,5397073,4058496,2638146,1292492,5134274,3769688,2432287,1198377,4596244,3347880,2225505,1119000,4500704,3327050,2185219,1089438,4201376,3098798,1402069,658484,2312314,1624845,1016214,485977,2259532,1770392,1160703,550728,2086026,1522519,964635,449940,1657072,1204758,793839,352086,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0,0,--,
营业总成本(万元),1485310,6023554,4365269,2831756,1354459,4189052,2966735,1922282,914837,3839026,2735696,1806653,897905,3819355,2726648,1890611,944373,3835339,2797417,1830434,888320,3784139,2741069,1743561,811578,3324322,2365943,1552453,721024,3145044,2259738,1460945,697546,2887641,2013954,782146,352616,1435652,1010419,637515,290853,1373322,1019984,659565,272172,1158820,805944,519335,212985,999793,717090,459190,228747,
营业成本(万元),1456863,5890229,4276403,2775039,1326561,4014548,2855444,1850228,876982,3695205,2633940,1738735,866642,3697847,2645791,1834942,904976,3373544,2460090,1612311,785087,3230679,2341824,1485129,688950,2832062,2009301,1315377,606718,2642032,1874966,1225123,581605,2421877,1683770,642099,283417,1193247,813223,511332,229911,1170883,840251,547714,222429,1006119,698448,454835,183136,836151,588788,372716,186504,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0,0,--,
研发费用(万元),0,681,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,--,0,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
