报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),1081896,3392356,2366074,1570564,662100,2710140,1936533,1230110,539341,2110795,1458074,920358,431491,1652295,1057696,624002,282839,864134,609426,394274,158165,677133,483972,324872,131662,581221,418371,275037,123464,487397,336806,214563,91000,434696,305335,201064,81814,372400,256185,183287,70139,291212,211901,140679,52379,198843,129173,79488,32063,116234,74891,42996,18397,
营业收入(万元),1081896,3392356,2366074,1570564,662100,2710140,1936533,1230110,539341,2110795,1458074,920358,431491,1652295,1057696,624002,282839,864134,609426,394274,158165,677133,483972,324872,131662,581221,418371,275037,123464,487397,336806,214563,91000,434696,305335,201064,81814,372400,256185,183287,70139,291212,211901,140679,52379,198843,129173,79488,32063,116234,74891,42996,18397,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业总成本(万元),1038470,3170106,2190412,1459378,619657,2551183,1804005,1140365,503691,1969580,1348275,853342,403500,1544709,1000128,588984,271686,805408,561766,359906,147436,618417,439898,296046,122054,531385,382689,251062,114457,445533,305552,193231,82334,387608,269715,176547,70677,327818,226317,162597,63336,270170,197910,129801,48565,185752,120716,73750,30060,109408,70566,40629,17493,
营业成本(万元),963355,2894517,1989008,1322584,549453,2291033,1614036,1022776,448330,1764968,1196365,752937,356928,1373351,907882,529372,243967,700233,492985,316896,128310,532865,380883,255655,103101,456273,329368,217250,99916,391839,269806,170454,72777,338595,234886,152987,60780,281231,193724,140784,54755,234936,176704,116955,41927,164495,106322,66144,26695,94415,60936,34838,14868,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,
