报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),37583,188813,132244,83801,31661,150252,111173,68887,27235,108432,80279,52460,20839,89094,67545,45135,19208,80444,57170,70958,55271,
营业收入(万元),37583,188813,132244,83801,31661,150252,111173,68887,27235,108432,80279,52460,20839,89094,67545,45135,19208,80444,57170,70958,55271,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),31697,164667,114909,71399,28388,128207,94252,58975,23480,91096,67644,44055,18358,73401,55339,36846,16954,66025,48055,57391,43928,
营业成本(万元),25186,140283,100392,62112,24590,110638,82734,51374,20321,77762,58628,38057,15626,62274,47470,31443,14640,56485,41280,48166,37017,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),294,1055,623,420,91,779,420,228,111,460,278,174,75,431,319,213,85,484,324,360,270,
销售费用(万元),1498,7331,4296,2790,1169,5285,3447,2312,1055,3800,2597,1735,730,3204,2297,1480,643,2742,1882,2359,2052,
管理费用(万元),3821,13295,7921,5156,2475,9210,6041,3954,1912,7174,4712,3041,1516,5584,3880,2482,1186,4837,3404,4593,3390,
财务费用(万元),550,1221,809,598,288,1428,1037,666,346,1240,921,541,257,1050,752,492,194,998,668,981,880,
资产减值损失(万元),348,1482,868,324,-223,867,572,442,-265,660,508,507,154,859,621,736,206,479,496,933,319,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
投资收益(万元),808,2385,1722,760,380,408,81,81,81,527,212,88,21,11,3,--,0,--,--,6,8,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6724,28307,19566,13578,3653,22453,17002,9993,3836,17863,12847,8493,2502,15704,12208,8289,2254,14419,9115,13573,11351,
营业外收入(万元),2,2,319,313,689,689,476,442,143,788,730,526,319,1135,735,566,343,833,446,490,382,
营业外支出(万元),20,89,54,50,41,28,26,22,9,59,43,37,9,124,21,14,6,35,25,18,160,
非流动资产处置损失(万元),--,--,1,1,0,2,0,0,--,9,9,8,8,1,1,1,--,13,9,3,3,
利润总额(万元),6705,28219,19830,13841,4301,23114,17451,10413,3970,18592,13535,8982,2812,16715,12923,8842,2591,15216,9537,14045,11573,
所得税费用(万元),1318,5367,3655,2444,797,4025,3050,1836,752,3312,2481,1622,554,3063,2486,1682,616,3127,1871,2727,2158,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),5388,22853,16175,11397,3504,19089,14401,8577,3218,15280,11054,7360,2258,13652,10437,7160,1975,12089,7666,11318,9415,
归属于母公司所有者的净利润(万元),5491,23677,16495,11640,3617,19348,14498,8617,3235,15352,11077,7370,2278,13714,10450,7168,1979,12090,7666,11318,9415,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-104,-825,-319,-243,-113,-259,-97,-40,-17,-72,-24,-10,-20,-62,-13,-8,-4,-1,--,--,--,
基本每股收益,0.12,0.52,0.36,0.26,0.2,1.13,0.86,0.52,0.19,0.94,0.68,0.46,0.15,1.1,0.84,0.57,0.16,0.97,0.61,0.91,0.75,
稀释每股收益,0.12,0.52,--,0.26,--,1.13,--,0.52,0.19,0.94,--,--,0.15,1.1,--,--,0.16,--,--,--,--,
