报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),12663,8016,15545,11049,13227,6168,12161,10266,9912,
营业收入(万元),12663,8016,15545,11049,13227,6168,12161,10266,9912,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),7740,4911,10185,7189,9366,4433,9358,7551,7371,
营业成本(万元),5894,3745,7654,5491,6989,3328,6930,5596,5549,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),161,106,203,117,134,61,107,102,90,
销售费用(万元),435,284,577,402,514,241,499,411,396,
管理费用(万元),1278,860,1733,1175,1801,908,1838,1499,1320,
财务费用(万元),1,-28,-27,-5,-139,-129,-29,-54,23,
资产减值损失(万元),-29,-57,45,8,66,23,13,-3,-6,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),130,100,100,93,99,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),5054,3205,5460,3953,3959,1735,2803,2715,2541,
营业外收入(万元),24,18,36,19,320,15,686,632,250,
营业外支出(万元),0,0,6,0,36,0,3,1,22,
非流动资产处置损失(万元),0,0,6,0,36,--,3,--,--,
利润总额(万元),5077,3223,5490,3972,4243,1750,3485,3346,2769,
所得税费用(万元),782,470,805,605,633,277,503,477,400,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),4295,2753,4684,3367,3611,1473,2982,2869,2370,
归属于母公司所有者的净利润(万元),4295,2753,4684,3367,3611,1473,2982,2869,2370,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.72,0.46,0.78,0.56,0.6,0.25,0.5,0.48,0.41,
稀释每股收益,0.72,0.46,0.78,0.56,0.6,0.25,0.5,0.48,0.41,
