报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),15874,46009,31780,22769,11047,61027,42860,28906,16613,73538,45838,31542,14366,64166,43609,37335,30076,--,
营业收入(万元),15874,46009,31780,22769,11047,61027,42860,28906,16613,73538,45838,31542,14366,64166,43609,37335,30076,19094,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),10846,37973,25307,18347,8738,44303,35044,22681,11220,47103,30627,20724,9580,39891,28769,23429,19705,4286,
营业成本(万元),6841,19101,13439,9672,4612,22140,16884,10773,6495,27243,16578,11380,5255,23371,17874,15493,14025,6986,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),261,624,388,289,154,906,464,293,219,922,486,352,146,807,527,480,254,--,
销售费用(万元),542,3384,2276,1615,701,4091,3300,2354,563,3170,2343,1699,536,2829,2440,1853,1685,1169,
管理费用(万元),3335,15926,10139,7301,3720,18046,15080,10034,4597,15291,10779,7252,3639,12536,7179,5294,4278,3160,
财务费用(万元),-204,-903,-747,-451,-206,-995,-817,-611,-313,-27,-4,-0,9,27,-16,8,54,-43,
资产减值损失(万元),70,-158,-189,-79,-243,117,133,-162,-340,505,445,42,-6,320,765,302,-592,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-13,--,
投资收益(万元),1425,3595,2623,1930,1047,1475,895,568,64,673,556,338,60,331,107,7,463,-176,
对联营企业和合营企业的投资收益(万元),-11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1033,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,665,
营业利润(万元),7314,14018,11610,8687,3355,18199,8712,6793,5457,27108,15768,11155,4845,24607,14947,13912,10821,8322,
营业外收入(万元),3,322,4,2,1320,3389,3235,1428,86,3710,2718,2033,145,2644,2423,1422,2600,49,
营业外支出(万元),4,6,9,4,--,60,20,1,--,4,2,2,2,5,7,5,106,74,
非流动资产处置损失(万元),--,--,4,3,--,49,10,1,--,3,2,2,2,2,3,4,2,--,
利润总额(万元),7312,14335,11604,8686,4675,21527,11927,8220,5543,30815,18483,13186,4988,27246,17362,15330,13314,9155,
所得税费用(万元),1128,1381,1636,1163,530,2006,1236,964,819,3778,2008,1374,820,3400,2071,2134,2234,1175,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6184,12954,9968,7522,4145,19521,10690,7256,4724,27037,16475,11812,4168,23846,15291,13196,11080,7979,
归属于母公司所有者的净利润(万元),5713,13110,10086,7594,4171,18692,10690,7256,4724,27037,16475,11812,4168,23846,15291,13196,11200,7979,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-238,--,
少数股东损益(万元),471,-156,-118,-72,-25,829,--,--,--,--,--,--,--,--,--,--,-120,--,
基本每股收益,0.36,0.82,0.63,0.47,0.26,1.17,0.67,0.45,0.3,2.25,1.37,0.98,0.35,1.99,1.27,1.1,0.93,--,
稀释每股收益,0.36,0.82,0.63,0.47,0.26,1.17,0.67,0.45,0.3,2.25,1.37,0.98,0.35,1.99,1.27,1.1,0.93,--,
