报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,
营业总收入(万元),29138,104852,77525,46485,22196,95067,61439,40147,18192,89815,69131,44349,18463,91787,67355,39135,15132,74410,51877,31731,13081,80870,65131,42718,24363,122985,97154,61718,30803,140716,101774,66225,28326,107633,78182,50119,21010,116789,91224,60446,142016,101629,67412,124377,76177,
营业收入(万元),29138,104852,77525,46485,22196,95067,61439,40147,18192,89815,69131,44349,18463,91787,67355,39135,15132,74410,51877,31731,13081,80870,65131,42718,24363,122985,97154,61718,30803,140716,101774,66225,28326,107633,78182,50119,21010,116789,91224,60446,142016,101629,67412,124377,76177,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
营业总成本(万元),29904,172318,81958,49541,23162,114375,64669,42314,19276,103829,68422,44147,19340,105692,71545,40643,15920,84411,57053,35524,14377,92924,63317,40387,22804,120784,88980,56085,27936,128488,93080,61468,25784,101935,72741,47973,19787,113589,86059,56844,134163,97109,64959,122604,73903,
营业成本(万元),27079,97835,72245,42721,20087,84836,53549,35612,16103,85622,59663,38320,16527,92290,65093,36046,14057,75035,52407,32259,13137,83264,60068,38274,22174,109879,83087,51874,25292,117956,85785,57091,23749,91365,65665,42986,17867,104218,79213,52329,126586,90825,61539,112218,71732,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,--,
