报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,
营业总收入(万元),89278,54609,112829,52237,101122,47344,115740,86770,117949,103652,
营业收入(万元),89278,54609,112829,52237,101122,47344,115740,86770,117949,103652,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),80192,49199,101461,46778,93689,43727,107963,80620,109550,94925,
营业成本(万元),74880,45835,94446,43835,87505,40968,101995,76480,103401,90418,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),357,275,506,139,275,93,347,252,220,200,
销售费用(万元),1451,904,2045,870,1930,700,1875,1219,1726,1524,
管理费用(万元),3191,1934,4202,1756,3754,1964,3362,2226,4007,2387,
财务费用(万元),73,73,-105,-48,-48,-2,39,22,235,276,
资产减值损失(万元),240,177,367,226,274,18,345,420,-38,121,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,22,0,--,--,--,--,32,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),9086,5410,11389,5459,7433,3603,7777,6151,8431,8727,
营业外收入(万元),138,29,155,116,181,83,271,145,129,86,
营业外支出(万元),9,7,67,58,89,1,18,10,19,65,
非流动资产处置损失(万元),--,--,2,1,67,1,1,1,2,--,
利润总额(万元),9214,5431,11478,5518,7526,3684,8030,6286,8540,8748,
所得税费用(万元),2142,1230,2686,1472,1874,921,1942,1618,1979,2146,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),7072,4202,8791,4046,5652,2763,6088,4668,6562,6602,
归属于母公司所有者的净利润(万元),7072,4202,8791,4046,5652,2763,6088,4668,6562,6602,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.45,0.27,0.56,0.26,0.36,0.18,0.39,0.3,0.42,0.42,
稀释每股收益,0.45,0.27,0.56,0.26,0.36,0.18,0.39,0.3,0.42,0.42,
