报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),88102,70431,44159,15234,74415,50122,28733,6794,23487,17188,11318,6183,19125,14867,10993,5847,24343,17833,12197,5831,25539,18010,12968,5979,22527,22318,17761,12813,
营业收入(万元),88102,70431,44159,15234,74415,50122,28733,6794,23487,17188,11318,6183,19125,14867,10993,5847,24343,17833,12197,5831,25539,18010,12968,5979,22527,22318,17761,12813,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),78781,60530,38044,14018,69123,45147,25932,7117,25141,18373,12332,6516,20262,15647,10834,5939,22485,16368,11085,5512,22279,16069,11407,5372,19340,19139,15057,11434,
营业成本(万元),60111,46651,29675,10143,52288,35066,19922,4476,15841,11674,7789,4267,12719,10026,7399,3944,15403,11339,7644,3562,15692,11284,8113,3735,13562,13822,10543,7227,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),3349,2756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),618,464,263,158,717,396,260,93,323,100,77,72,88,74,68,51,190,138,103,66,216,139,99,67,239,190,120,104,
销售费用(万元),4995,3946,2575,1112,4712,2652,1662,645,2060,1287,872,375,1862,1443,876,593,1664,900,636,386,1684,1235,941,349,1549,1660,1565,1082,
管理费用(万元),7260,5260,4836,2488,9578,6349,3818,1488,5526,4180,2802,1406,4525,3105,1834,990,3211,2276,1447,832,3220,2269,1463,808,2737,2362,2227,2233,
财务费用(万元),1337,998,800,480,1619,1098,695,283,1228,964,607,307,1264,1209,838,326,1769,1378,1049,592,1313,969,676,360,1150,1110,636,568,
资产减值损失(万元),1110,455,-104,-363,208,-414,-426,132,164,169,186,90,-195,-209,-181,34,248,337,205,74,154,172,116,53,103,-6,-34,220,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10640,11898,7706,1395,6932,5728,3532,-323,-1655,-1185,-1014,-333,-1137,-781,159,-92,1858,1465,1112,319,3260,1941,1561,608,3187,3179,2704,1379,
营业外收入(万元),1191,13,6,3,32,29,21,413,1682,1385,1135,377,1241,818,655,351,1257,724,586,149,665,356,339,125,809,1131,741,738,
营业外支出(万元),179,42,28,0,15,16,15,5,99,65,60,22,26,26,26,0,5,4,1,1,25,17,15,0,18,67,10,46,
非流动资产处置损失(万元),--,--,--,--,--,2,8,0,76,63,60,22,26,25,25,0,1,1,1,1,23,14,14,--,15,52,--,--,
利润总额(万元),11653,11869,7684,1398,6949,5741,3537,85,-71,135,61,22,78,12,788,259,3110,2185,1696,467,3899,2281,1884,733,3978,4243,3435,2072,
所得税费用(万元),1690,1298,1121,204,182,514,341,-86,-301,-196,-92,-75,-317,-238,-29,-20,238,150,129,-69,403,235,217,92,430,530,354,159,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9963,10571,6563,1194,6767,5227,3196,171,230,331,154,97,395,250,816,280,2872,2035,1567,536,3496,2046,1668,641,3548,3713,3081,1913,
归属于母公司所有者的净利润(万元),10199,10705,6651,1242,6972,5360,3282,213,422,443,227,132,503,303,838,280,2872,2035,1567,536,3496,2046,1668,641,3548,3713,3081,1777,
