报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),45340,28832,47959,33667,20484,48009,24721,35097,21862,15824,
营业收入(万元),45340,28832,47959,33667,20484,48009,24721,35097,21862,15824,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),34651,22829,35499,23446,15111,35970,17733,27871,18018,13823,
营业成本(万元),25142,16247,25977,18008,11113,26071,12827,19824,12427,10041,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),666,430,630,291,170,534,218,323,205,148,
销售费用(万元),4314,2956,4560,2403,1858,4834,2280,3878,2017,1488,
管理费用(万元),3689,2549,4615,2747,1984,4133,1844,3391,2449,1613,
财务费用(万元),322,184,-366,-121,-116,-99,131,403,509,450,
资产减值损失(万元),518,463,83,119,103,497,434,52,411,83,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),11,11,9,3,2,2,--,1,--,3,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10700,6015,12468,10225,5376,12042,6988,7227,3844,2004,
营业外收入(万元),90,71,453,279,233,126,108,32,7,245,
营业外支出(万元),3,2,187,46,0,88,1,13,26,48,
非流动资产处置损失(万元),2,2,175,41,0,1,1,9,12,0,
利润总额(万元),10787,6083,12734,10458,5608,12080,7094,7246,3825,2201,
所得税费用(万元),1574,961,2001,1606,864,1843,1095,1121,547,334,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),9212,5122,10733,8852,4744,10237,5999,6126,3278,1867,
归属于母公司所有者的净利润(万元),9229,5144,10770,8858,4747,10234,6003,6126,3278,1867,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-17,-22,-37,-6,-2,3,-5,--,--,--,
基本每股收益,1.7,0.99,2.07,1.67,0.91,1.97,1.15,1.18,0.63,0.36,
稀释每股收益,1.7,0.99,2.07,1.67,0.91,1.97,1.15,1.18,0.63,0.36,
