报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),28696,18635,8034,37722,28384,18183,8437,39454,29920,19986,9594,39782,37598,33371,33846,
营业收入(万元),28696,18635,8034,37722,28384,18183,8437,39454,29920,19986,9594,39782,37598,33371,33846,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24058,15577,6674,30720,22792,14419,6772,31549,23896,16107,8045,31614,29270,25894,26540,
营业成本(万元),17293,11300,4791,21723,16271,10408,4849,23264,17597,11895,5770,23114,21452,19307,19610,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),446,305,140,564,288,189,96,450,349,232,101,402,364,371,295,
销售费用(万元),1305,848,373,1790,1240,767,372,1634,1155,775,413,1877,1797,1505,1225,
管理费用(万元),5100,3177,1431,6836,4918,3011,1465,6340,4749,3109,1583,6144,5600,4474,4932,
财务费用(万元),-156,-110,-44,-272,-137,-78,-21,-156,-104,4,79,52,87,224,357,
资产减值损失(万元),70,56,-18,78,213,121,11,18,150,92,99,26,-31,13,121,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),505,369,181,290,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),5142,3427,1541,7292,5592,3764,1665,7905,6024,3879,1549,8167,8329,7477,7306,
营业外收入(万元),291,196,28,920,593,458,49,180,140,97,95,201,468,413,106,
营业外支出(万元),1124,20,13,57,43,21,11,72,47,24,11,105,228,46,43,
非流动资产处置损失(万元),--,2,2,3,--,3,1,9,--,1,1,20,71,4,1,
利润总额(万元),4309,3603,1556,8155,6142,4201,1702,8013,6117,3952,1633,8263,8569,7843,7370,
所得税费用(万元),658,557,238,1134,925,626,251,1111,900,564,253,1180,1249,1126,1107,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3651,3046,1319,7021,5218,3575,1451,6902,5216,3388,1380,7082,7321,6717,6263,
归属于母公司所有者的净利润(万元),3399,2912,1275,6594,4895,3362,1412,6588,5040,3314,1402,6775,7018,6376,6263,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),252,134,44,427,323,212,39,314,177,75,-22,307,303,341,--,
基本每股收益,0.23,0.2,0.09,0.51,0.4,0.3,0.13,0.59,0.45,0.3,0.13,0.61,0.63,0.57,0.56,
稀释每股收益,0.23,0.2,0.09,0.51,0.4,0.3,0.13,0.59,0.45,0.3,0.13,0.61,0.63,0.57,0.56,
