报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),206201,123993,232439,156950,158060,144050,124593,
营业收入(万元),206201,123993,232439,156950,158060,144050,124593,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),180357,109999,207500,141887,144892,134096,117305,
营业成本(万元),132188,79628,151522,103434,104250,100268,87448,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),2042,1319,2335,1528,1412,1156,740,
销售费用(万元),28386,16803,30724,21343,18618,14437,12376,
管理费用(万元),15561,10462,19909,13103,17487,13577,12832,
财务费用(万元),1424,793,2018,1562,3459,4392,3447,
资产减值损失(万元),757,993,991,917,-334,266,463,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),--,--,80,80,157,32,7,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),28707,13995,25019,16329,13326,9986,7295,
营业外收入(万元),243,813,2467,241,1308,1088,708,
营业外支出(万元),621,112,379,163,306,287,329,
非流动资产处置损失(万元),324,0,212,79,136,241,296,
利润总额(万元),28329,14695,27106,16407,14327,10787,7674,
所得税费用(万元),4729,2511,3807,2718,2753,3092,1281,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),23600,12185,23300,13689,11574,7695,6393,
归属于母公司所有者的净利润(万元),23600,12185,23300,13689,11574,7695,6393,
被合并方在合并前实现净利润(万元),--,--,--,--,9,-155,--,
少数股东损益(万元),--,--,--,--,--,--,--,
基本每股收益,2,1.03,1.97,1.16,1.04,0.68,0.56,
稀释每股收益,2,1.03,1.97,1.16,1.04,0.68,0.56,
