报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),221986,167285,37358,157038,52981,16954,8301,41240,22066,8150,2843,25061,20789,13461,6062,28933,20749,14055,6288,30088,21746,11797,5005,30346,23765,15819,7420,37904,30116,24649,13207,45497,33737,20426,9379,44556,31069,19340,10158,71162,56046,34637,16805,67048,53694,34785,15986,70741,50877,28074,10605,
营业收入(万元),221986,167285,37358,157038,52981,16954,8301,41240,22066,8150,2843,25061,20789,13461,6062,28933,20749,14055,6288,30088,21746,11797,5005,30346,23765,15819,7420,37904,30116,24649,13207,45497,33737,20426,9379,44556,31069,19340,10158,71162,56046,34637,16805,67048,53694,34785,15986,70741,50877,28074,10605,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,--,
营业总成本(万元),224555,166047,36315,155593,52160,16577,8156,39955,21272,8001,3006,29133,24558,15793,6577,30540,22142,15480,7215,40157,27344,14845,6290,43820,27038,18060,9182,97034,37694,26888,14007,50360,37411,22964,11008,72506,48414,32364,17814,93217,62036,40825,19857,89603,69377,45287,20911,94884,60701,37097,16519,
营业成本(万元),215931,163011,36161,146228,48461,14930,7533,37587,19804,6993,2594,22851,19320,12678,5577,25483,18643,12932,6065,33256,22937,11490,5002,29482,21992,14712,7545,36867,28139,20120,10007,43122,31673,19831,10723,63033,42024,27358,15094,72839,55580,35279,17100,76771,59558,39198,16795,74663,52925,32458,14491,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,0,0,--,--,0,0,
