报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),74278,309184,227232,144931,71151,327994,244211,156643,72650,331406,250461,163289,73441,327031,232871,146957,65856,282128,199008,122208,51782,222840,157672,97847,42621,182334,132214,81934,36266,160274,112384,67112,27848,108994,78612,47348,21147,82394,55896,69014,52882,
营业收入(万元),74278,309184,227232,144931,71151,327994,244211,156643,72650,331406,250461,163289,73441,327031,232871,146957,65856,282128,199008,122208,51782,222840,157672,97847,42621,182334,132214,81934,36266,160274,112384,67112,27848,108994,78612,47348,21147,82394,55896,69014,52882,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),71577,316681,226225,144399,69987,302471,220967,139712,63087,285550,208607,135315,62518,273250,196133,125139,57242,239985,169639,105079,45382,190899,136412,84906,37301,160538,117156,72654,32256,143617,99818,59531,24523,96148,68397,41436,18430,72916,49510,63925,47109,
营业成本(万元),54270,228707,168712,106140,51234,226653,165289,104332,46358,209610,155107,100963,45782,208177,149525,95461,43875,184610,130225,80020,34163,152825,108067,67462,30092,132358,98447,60687,26950,122833,85442,50170,20658,79754,57114,34115,15233,60201,41319,54552,41543,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),2756,11875,8889,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业税金及附加(万元),853,2701,1883,1331,570,2830,2092,1239,586,3057,1784,1245,623,2612,1824,1125,581,2359,1629,1015,475,1836,1307,701,335,894,532,324,109,778,426,239,66,612,410,259,161,560,393,326,278,
销售费用(万元),9275,43441,33877,22312,11375,43304,31120,19680,9403,43142,28963,19141,9719,35128,24817,16060,7420,28771,20893,13136,6359,19417,14299,8857,3759,15600,9713,6439,3041,10699,7350,4864,2039,8799,6314,3803,1456,5543,3392,3415,2352,
管理费用(万元),3013,13710,9952,12445,5694,26217,19659,11910,5516,26651,20327,12394,5555,24934,18622,11707,5118,23181,16237,10340,4404,17805,12631,7911,3309,13640,9529,5964,2915,10440,7305,4576,2165,7668,5021,3200,1566,5830,3972,4990,3035,
财务费用(万元),103,48,-17,-81,-44,4,-45,103,79,86,-50,10,-54,-409,-418,-416,-244,-400,-537,-263,-198,-1788,-1103,-716,-351,-2323,-1690,-1077,-628,-1729,-1406,-734,-454,-1236,-767,-124,-53,298,329,193,286,
资产减值损失(万元),1306,16199,2929,2252,1158,3464,2852,2448,1144,3004,2477,1562,894,2807,1763,1203,493,1464,1191,831,179,803,1212,690,156,369,625,318,-130,598,701,417,50,551,305,183,67,483,105,450,-385,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
投资收益(万元),329,7910,5969,4191,1774,12316,9372,7547,5413,4848,3109,2000,669,4625,3428,2565,1013,2369,1327,438,241,--,--,--,--,--,--,--,--,8,8,--,--,--,--,--,--,0,--,0,130,
对联营企业和合营企业的投资收益(万元),-560,-195,-431,-196,--,307,-208,-208,--,-628,-310,-310,--,-592,-271,-271,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),3828,1627,7653,5208,3129,39292,33558,25119,14977,50704,44963,29974,11592,58406,40166,24383,9627,44512,30696,17568,6640,31941,21260,12942,5320,21796,15058,9280,4009,16665,12574,7581,3325,12846,10215,5912,2717,9478,6386,5089,5903,
营业外收入(万元),58,549,322,257,27,294,259,131,321,1884,1011,660,470,1190,687,365,158,2436,1778,1298,923,1312,1079,904,296,1195,1013,525,381,1884,1429,1257,560,1373,1068,983,231,414,270,956,289,
营业外支出(万元),344,884,643,599,352,962,876,798,727,997,774,671,606,842,645,612,534,877,747,601,551,826,675,598,460,713,554,445,389,678,599,453,376,300,247,226,93,106,44,165,146,
非流动资产处置损失(万元),--,--,--,--,--,--,--,26,--,250,--,62,--,99,--,18,--,133,--,42,--,40,26,22,--,25,14,9,--,142,125,0,--,49,--,--,--,0,--,2,61,
利润总额(万元),3542,1293,7332,4867,2804,38625,32940,24452,14571,51591,45200,29963,11455,58754,40208,24136,9251,46070,31727,18265,7013,32427,21663,13248,5156,22277,15517,9360,4001,17872,13404,8385,3508,13919,11035,6669,2855,9786,6613,5880,6046,
所得税费用(万元),636,-179,1158,824,365,5796,5304,3929,2325,8679,8065,5394,2081,9726,7018,4069,1554,5608,5251,2889,1147,4697,3679,2281,870,3579,2530,1439,617,2761,2164,1401,546,1931,1753,1054,403,1366,1031,846,1610,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),2906,1471,6174,4042,2439,32828,27636,20523,12246,42911,37135,24570,9374,49028,33190,20067,7697,40462,26476,15376,5866,27730,17984,10967,4286,18698,12987,7921,3384,15110,11240,6984,2963,11987,9283,5615,2452,8420,5582,5034,4436,
归属于母公司所有者的净利润(万元),2943,1555,6218,4054,2430,32616,27466,20415,12191,42407,36791,24389,9336,48876,33102,20027,7692,40241,26328,15318,5895,27777,18000,10967,4286,18698,12987,7921,3384,15110,11240,6984,2963,11987,9283,5615,2452,8420,5582,5025,4156,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
少数股东损益(万元),-37,-84,-44,-12,9,212,170,108,55,505,344,181,38,153,88,41,5,221,149,58,-29,-47,-16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,9,280,
基本每股收益,0.04,0.02,0.08,0.05,0.03,0.41,0.34,0.26,0.15,0.56,0.49,0.33,0.13,0.66,0.45,0.27,0.1,0.54,0.36,0.21,0.08,0.75,0.48,0.29,0.11,0.49,0.34,0.21,0.09,0.62,0.47,0.29,0.12,0.8,0.63,0.4,0.25,0.84,0.47,0.5,0.42,
稀释每股收益,0.04,0.02,0.08,0.05,0.03,0.41,0.34,0.26,0.15,0.56,0.49,0.33,0.13,0.66,0.45,0.27,0.1,0.54,0.36,0.21,0.08,0.75,0.48,0.29,0.11,0.49,0.34,0.21,0.09,0.62,0.47,0.29,0.12,0.8,0.63,0.4,0.25,0,0.47,0,0,
