报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),13164873,68098113,46038454,28896091,12306502,62932709,42388512,26672720,11867800,60053873,41304971,26289426,11707635,59196845,41167549,26169364,10814291,58678959,39151111,23603762,8926247,48431293,30317690,18453191,6633607,45736611,32426975,21140610,8735601,47015879,30209445,17932035,7029045,35552077,22487589,13022036,5133084,22614071,13532986,8223582,3288812,17748729,7335307,15848809,11412535,8873003,
营业收入(万元),13164873,68098113,46038454,28896091,12306502,62932709,42388512,26672720,11867800,60053873,41304971,26289426,11707635,59196845,41167549,26169364,10814291,58678959,39151111,23603762,8910058,48431293,30317690,18453191,6633607,45736611,32426975,21140610,8735601,47015879,30209445,17932035,7029045,35552077,22487589,13022036,5133084,22614071,13532986,8223582,3288812,17748729,7335307,15848809,11412535,8873003,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16190,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
营业总成本(万元),12710786,66094414,44741368,28060574,11922822,61112086,41205548,25883163,11524076,58426172,40286250,25643180,11436585,57767914,40249230,25543782,10580182,57448495,38298335,23050713,8734909,47381492,29722123,18077533,6489727,44757782,31824348,20701646,8542849,46443412,29898953,17516997,6865011,34749502,22025908,12735891,5023947,22158300,13266814,8052179,3201075,17308950,7093077,15644202,11336340,8855997,
营业成本(万元),11860320,61805939,41988446,26341013,11171808,57137753,38246277,23939939,10612304,53175633,36767516,23409139,10487944,52772982,37002690,23517564,9692814,52724790,35196984,21233397,7975414,43288901,27211796,16529299,5910590,40932741,29305982,19075289,7888582,42864712,27701455,16224688,6361317,32242781,20414952,11782614,4627886,20360708,12228828,7397961,2960138,16059833,6634635,14401296,10286982,7980256,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
营业税金及附加(万元),59709,495048,226549,159513,75882,814421,509554,439742,304189,1801647,1131986,757221,313170,1797934,1194554,764982,312679,1682730,1098709,666756,244677,1444124,875181,524195,194485,1404678,971767,624570,267248,1397161,888856,528642,211346,1054454,669901,397280,153745,673052,392624,245828,100951,548988,241018,487912,333060,254254,
销售费用(万元),97265,453090,279171,186030,97359,417767,274976,179592,89937,370366,242070,152874,73043,325161,199075,127102,61108,250922,154750,99562,41470,194645,113626,66659,28427,174592,117503,77613,35737,153099,85566,55014,25287,101638,73546,45432,20506,84889,57499,41001,12992,69611,33406,89311,92695,76090,
管理费用(万元),557879,2605797,1989351,1213184,492937,2408962,1808751,1093052,436227,2283561,1623125,997744,415129,2284524,1451052,876690,386722,2271984,1556692,887614,380177,2070577,1269196,788935,282572,1985140,1318687,860225,319465,1915924,1130711,675986,255667,1340895,843417,490729,210431,872493,507230,309712,136125,532635,139771,573197,517450,462780,
财务费用(万元),97936,287591,234298,132904,56330,273171,325752,203392,81901,438503,449698,261251,131656,428969,367943,237483,109315,374944,263365,162063,94700,350058,257230,170975,76023,198175,108529,63521,31126,51116,37476,26593,12118,36560,17328,13940,11855,106151,86588,59194,10000,86019,35550,53501,39336,23443,
资产减值损失(万元),37677,446950,23553,27930,28507,60013,40239,27447,-481,356462,71855,64951,15644,158344,33917,19961,17545,143126,27834,1320,-1536,33187,-4905,-2529,-2370,62456,1881,428,692,61401,64860,6074,-724,-26826,6764,5898,-476,61008,-5956,-1516,-4581,11864,8696,38985,66818,59174,
公允价值变动收益(万元),1964,36790,11957,-3133,-17751,-22242,-6150,-26451,-3254,-2750,-1496,2150,784,829,-939,-1127,-1088,94,1310,1272,425,324,-90,175,87,-2711,-2589,-909,-289,-2041,-1720,-2929,-317,1191,1775,1658,641,-9050,-8718,-8128,-1912,5239,1829,4075,263,-2180,
投资收益(万元),2154,33700,16936,10674,7072,14752,11424,8720,-287,35953,34295,26959,1368,8299,5032,-542,-326,-2217,8529,1164,3376,18694,13790,12442,1344,16838,8904,8277,5382,13536,11690,2973,679,15587,7264,712,1027,23454,28168,23476,16462,44064,4680,4947,6655,7665,
对联营企业和合营企业的投资收益(万元),1725,28071,963,863,5907,-2931,1320,3122,-1097,9607,15759,9596,1365,-1221,-3079,-2787,-854,-24876,2506,565,1623,3285,3987,3160,212,7781,435,324,109,187,7474,-408,0,-80,143,-128,182,-984,934,649,104,3863,1053,2265,5921,5002,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,
营业利润(万元),456755,2090980,1326882,843962,373000,1813134,1188238,771825,340182,1660904,1051520,675355,273201,1438059,922411,623913,232695,1228341,862614,555486,195140,1068819,609267,388275,145312,992957,608941,446331,197845,583962,310492,415082,164396,819353,470720,288515,110805,470175,285622,186751,87738,489082,248739,213629,83112,22492,
营业外收入(万元),19360,109027,85027,53711,22066,121304,59368,25891,12130,80862,46875,35332,19380,82864,58859,38636,26625,96625,39673,27910,11932,65586,33011,19747,9821,52154,27904,19406,9864,40963,24181,16666,5227,30026,18821,12990,4645,26516,17287,10765,4662,21919,8996,16085,14766,14219,
营业外支出(万元),8704,74431,32676,21207,10554,37480,29501,21111,9107,30462,17001,10867,4450,25678,17629,12659,6326,20992,9941,4919,2456,44819,10495,7012,2001,39521,21017,14551,3648,16049,10600,6596,2300,18639,7605,4360,835,39807,9386,6650,2619,13323,5696,20376,15386,15997,
非流动资产处置损失(万元),--,--,7467,5150,2491,19143,15651,13261,2691,13295,7193,3402,1658,12690,8176,6020,3417,8795,2242,673,1103,10216,4861,3521,794,21247,9917,10913,2477,8200,3872,2868,1143,10373,2890,1980,-147,3739,3396,2797,1241,6135,1656,7086,4825,3916,
利润总额(万元),467411,2125576,1379233,876466,384512,1896958,1218106,776605,343204,1711304,1081395,699820,288131,1495245,963641,649890,252994,1303974,892347,578477,204616,1089586,631783,401010,153132,1005589,615828,451187,204062,608876,324073,425153,167322,830740,481936,297145,114615,456885,293523,190866,89781,497679,252039,209339,82492,20713,
