报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),26040,11028,49092,34425,21866,7428,39423,25598,16700,5674,31293,19954,13468,3972,25398,17144,11615,2976,22436,18971,16063,
营业收入(万元),26040,11028,49092,34425,21866,7428,39423,25598,16700,5674,31293,19954,13468,3972,25398,17144,11615,2976,22436,18971,16063,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),22561,10747,41834,29588,18723,7597,32689,21654,14037,5686,25346,16639,11291,3926,20531,14343,9643,3166,18278,15324,12849,
营业成本(万元),14187,6697,25714,18951,11938,4434,21245,13642,9008,3241,16570,10555,7318,2311,13213,9159,6133,1688,11837,9957,8946,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),104,50,408,193,156,40,231,99,71,64,152,56,45,34,177,98,62,24,163,268,249,
销售费用(万元),1982,939,4024,2908,1825,850,3272,2288,1508,685,2795,2016,1186,521,2190,1603,1081,414,1972,1448,1098,
管理费用(万元),5263,2521,10197,6619,4016,2021,7371,5135,3100,1598,5444,3831,2418,982,4411,3138,2051,980,3818,3175,2231,
财务费用(万元),430,205,482,281,136,56,120,49,5,-2,51,68,80,41,212,157,100,49,242,272,190,
资产减值损失(万元),594,335,1008,635,650,196,448,441,344,100,335,113,244,37,328,188,216,10,246,205,135,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4099,424,8098,5220,3295,-169,6735,3944,2664,-12,5947,3315,2176,46,4867,2802,1972,-190,4158,3647,3215,
营业外收入(万元),4,1,91,4,3,102,636,190,112,33,639,422,303,221,421,122,59,41,633,792,642,
营业外支出(万元),8,1,86,40,42,1,12,12,3,1,24,1,1,0,2,2,2,1,15,1,9,
非流动资产处置损失(万元),--,--,--,17,19,--,0,0,0,0,2,1,1,--,2,2,2,1,1,--,1,
利润总额(万元),4096,424,8103,5184,3257,-68,7359,4122,2772,20,6563,3736,2479,267,5287,2922,2030,-150,4776,4438,3848,
所得税费用(万元),723,161,1150,941,586,44,1276,714,502,5,1224,906,604,76,1103,672,476,21,998,782,635,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),3373,263,6953,4243,2671,-112,6083,3408,2270,14,5338,2830,1876,191,4184,2249,1553,-171,3778,3656,3213,
归属于母公司所有者的净利润(万元),2988,248,6128,3774,2312,-147,5397,3030,1961,-36,4842,2554,1694,180,3979,2135,1478,-130,3665,3697,3245,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),385,15,825,469,358,35,686,378,309,51,497,276,182,11,205,115,75,-42,113,-41,-31,
基本每股收益,0.24,0.02,0.49,0.3,0.18,-0.01,0.43,0.24,0.16,-0.01,0.79,0.42,0.28,0.03,0.84,0.45,0.31,-0.03,0.78,0.78,0.73,
稀释每股收益,0.24,0.02,0.49,0.3,0.18,-0.01,0.43,0.24,0.16,-0.01,0.79,0.42,0.28,0.03,0.84,0.45,0.31,-0.03,0.78,0.78,0.73,
