报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2004-12-31,
营业总收入(万元),6297900,24874600,18253500,12051800,6106200,18312700,12480300,7872300,3940200,17706900,13144600,8778300,3991100,24836000,19044200,12919700,6092900,28379700,19746700,12722600,6003900,25026000,17836700,12146800,5952600,20819700,15363100,10069200,4738900,15206300,11001300,6973100,3280500,12131200,8815300,5708300,2715700,10713300,7751100,4928200,2378800,8210700,6008300,3833100,6424000,2953300,5224200,3926700,
营业收入(万元),6297900,24874600,18253500,12051800,6106200,18312700,12480300,7872300,3940200,17706900,13144600,8778300,3991100,24836000,19044200,12919700,6092900,28379700,19746700,12722600,6003900,25026000,17836700,12146800,5952600,20819700,15363100,10069200,4738900,15206300,11001300,6973100,3280500,12131200,8815300,5708300,2715700,10713300,7751100,4928200,2378800,8210700,6008300,3833100,6424000,2953300,5224200,3926700,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
营业总成本(万元),4559100,17966400,13086300,8644500,4394500,14409900,9475000,6064600,3052700,14561900,10238400,6727400,3029400,19008900,14406200,9625400,4562300,21430600,14644200,9221100,4374700,18369900,12756900,8685300,4267500,14294500,10336300,6625500,3151400,9920800,6945400,4292200,2027600,7764500,5371600,3423300,1611300,7095700,4769100,2994000,1515900,5306900,3779700,2362100,4013200,1817200,3121400,2771300,
营业成本(万元),3772300,14384200,10643600,6992100,3550200,11076900,7345700,4662300,2351800,11042700,8079900,5322800,2403700,16323300,12565800,8403000,3974800,18771300,12843800,8098000,3835600,16021400,11092200,7598400,3756400,12264900,8893400,5712700,2714500,8171200,5778500,3540200,1650200,6148600,4243900,2718100,1265100,5411100,3757000,2383000,1168200,4071600,2925600,1839800,3013700,1362700,2313400,2020900,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,
