报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),9710886,6946441,4347390,2156681,9380048,6940836,4460503,2185497,6889566,4584191,2644831,1229774,4862373,3642045,2297085,1158285,3681632,2528807,1611317,809168,3377429,2477377,1625433,805866,2577158,1712291,960888,414764,1274141,851464,494003,196965,802529,620206,418643,189364,624919,434451,229811,72090,833402,727198,550590,293672,1117045,792610,468919,215284,883966,668263,429675,241272,
营业收入(万元),9710886,6946441,4347390,2156681,9380048,6940836,4460503,2185497,6889566,4584191,2644831,1229774,4862373,3642045,2297085,1158285,3681632,2528807,1611317,809168,3377429,2477377,1625433,805866,2577158,1712291,960888,414764,1274141,851464,494003,196965,802529,620206,418643,189364,624919,434451,229811,72090,833402,727198,550590,293672,1117045,792610,468919,215284,883966,668263,429675,241272,
利息收入(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
已赚保费(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
手续费及佣金收入(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,--,0,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,--,0,0,0,--,
营业总成本(万元),9541128,6816947,4214516,2026355,8500688,6182002,3939475,1890835,6854137,4761538,2883703,1365082,4785722,3470986,2108272,1051584,3452214,2369082,1534053,776309,3152404,2310442,1520653,773741,2649028,1841991,1083157,491450,1712119,1092820,632690,271947,1041003,738337,481946,224433,743898,519697,309894,122604,918829,723049,492718,260414,1044761,776542,498924,256382,1212372,961347,625074,298080,
营业成本(万元),7730622,5639000,3514458,1708754,7028248,5127540,3223527,1559754,5658570,3981714,2398709,1152293,3875509,2838628,1750961,869986,2850488,1964320,1263012,648312,2570382,1877618,1246133,635971,2279033,1625848,950240,418778,1344123,927810,534472,222537,828815,625073,412524,187956,627665,448310,259644,86444,768152,633442,446122,234007,926387,705517,455993,229857,999974,801166,504702,256813,
利息支出(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
手续费及佣金支出(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,--,0,0,0,--,
研发费用(万元),503993,258930,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,--,0,0,0,--,
退保金(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
赔付支出净额(万元),--,0,0,0,--,--,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
提取保险合同准备金净额(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
保单红利支出(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
分保费用(万元),--,0,0,0,--,0,0,0,--,0,0,--,--,0,0,0,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,0,0,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,0,0,--,0,0,0,--,
营业税金及附加(万元),77861,50262,30257,12661,70838,50004,35570,16499,45926,12894,9293,4435,27580,17097,11434,3706,11809,7051,3797,1173,18349,9387,6594,1635,9380,2380,1526,770,2957,1759,1097,443,2019,1358,917,410,1606,1194,733,370,2762,1595,1133,707,1645,797,528,251,1289,692,464,208,
销售费用(万元),289106,204634,129478,64506,259193,198869,122856,69225,198436,117280,69622,31171,129004,90933,53269,29258,99811,74689,48166,23603,104468,82942,51625,27629,65129,42117,25446,12224,43929,27291,16976,7177,20147,15152,9690,4318,12102,8064,4828,2161,16057,12985,9574,5351,19785,15503,9702,4714,22536,14306,10322,4897,
管理费用(万元),495918,361509,374390,181049,724654,488549,305266,150288,561844,387779,231109,119791,467578,351296,225242,112565,387664,263284,169886,77456,327632,224023,144989,68354,222417,150944,95004,46928,180096,118146,81795,46505,145874,91723,52999,25395,87306,67844,51983,34617,81489,51239,34364,17040,55982,34671,22290,12343,88653,75261,50612,24526,
财务费用(万元),319670,224266,120117,37463,194802,141336,109911,47891,229912,184007,123488,37057,149601,104985,17634,17161,-18735,-4813,10674,18486,40193,40044,19341,13948,29189,29715,12130,-4387,2968,4923,-7528,-9621,-1316,1504,3162,-304,6298,9383,6328,2628,19119,5013,1268,3401,28985,25937,16960,10941,63075,54433,34621,11603,
