报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),27423,15553,4416,54022,29901,20562,8248,81430,49032,28686,10423,70767,46417,26453,9559,34335,23602,17935,6905,32344,24024,16202,8381,38590,23770,15568,25741,12831,11114,
营业收入(万元),27423,15553,4416,54022,29901,20561,8248,81430,49032,28686,10423,70767,46417,26453,9559,34335,23602,17935,6905,32344,24024,16202,8381,38590,23770,15568,25741,12831,11114,
利息收入(万元),--,--,--,--,1,1,--,--,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),29277,17244,6570,94197,32069,20549,8392,74158,44650,27004,9553,65418,42614,24984,9082,31976,21436,15555,5667,27612,20485,14122,7272,30802,18445,11918,20173,9193,7677,
营业成本(万元),18379,9935,3037,37748,22113,14703,5468,56394,34607,20156,6849,50143,32987,18828,6874,23184,15551,11564,4093,21398,16515,11698,6147,23700,13963,9051,14864,6322,5099,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2875,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),373,231,97,537,336,247,85,540,119,94,47,385,168,97,56,314,133,80,43,364,199,124,76,357,172,104,372,214,154,
销售费用(万元),2886,1839,943,4557,3340,1967,1017,4394,2934,1877,802,3169,2219,1501,641,1707,1187,835,274,1620,1019,628,329,1445,901,585,1220,657,697,
管理费用(万元),4121,5016,2589,10427,6965,4399,2329,11165,7025,4628,1991,9380,6164,3909,1667,6218,4315,2923,1205,4702,3254,2027,920,5099,3187,2089,3250,1900,1701,
财务费用(万元),984,633,325,923,603,273,129,593,472,301,154,702,538,420,89,12,52,13,13,-923,-714,-518,-285,93,130,53,29,67,152,
资产减值损失(万元),-341,-411,-420,40004,-1287,-1040,-636,1072,-506,-51,-290,1640,537,228,-245,542,196,141,38,451,211,163,85,107,102,36,439,32,-127,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,96,
投资收益(万元),-54,-253,-257,-151,96,-30,-41,-259,-344,-257,-132,-76,-98,-48,--,--,--,--,--,31,31,-0,2,3,-10,-8,-0,--,-47,
对联营企业和合营企业的投资收益(万元),-54,-253,-257,-301,-54,-180,-191,-259,-344,-257,-132,--,-98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2474,2140,-2079,-39151,-1888,122,-184,7013,4039,1425,738,5273,3705,1420,477,2358,2166,2381,1238,4763,3570,2080,1111,7791,5305,3642,5567,3638,3485,
营业外收入(万元),18,2,1,70,3489,3370,201,2545,391,222,37,1128,159,104,7,1482,879,706,422,660,475,419,76,806,342,336,760,731,693,
营业外支出(万元),26,25,4,19,13,7,3,84,75,58,0,100,97,47,1,7,7,2,2,12,12,11,5,165,163,163,134,72,8,
非流动资产处置损失(万元),--,--,--,--,13,7,3,24,21,3,0,43,43,43,1,2,2,2,2,11,11,11,5,3,3,3,--,8,6,
利润总额(万元),2467,2117,-2082,-39100,1588,3485,14,9475,4355,1589,775,6301,3767,1477,483,3833,3039,3085,1658,5410,4033,2488,1182,8432,5483,3816,6192,4297,4170,
所得税费用(万元),525,406,68,476,801,762,329,1413,1077,618,395,1361,828,445,192,898,490,479,245,677,537,312,218,1166,895,503,942,531,624,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1941,1712,-2150,-39577,787,2723,-315,8062,3278,972,380,4940,2939,1032,291,2934,2549,2606,1413,4734,3496,2176,964,7266,4589,3313,5250,3766,3547,
归属于母公司所有者的净利润(万元),2250,1815,-1935,-39240,1285,2899,-371,6379,2460,570,199,3956,2276,694,180,3593,3042,2856,1411,4734,3496,2176,964,7266,4589,3313,5250,3766,3489,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,
少数股东损益(万元),-309,-103,-215,-336,-499,-176,56,1684,818,402,181,984,664,339,112,-659,-494,-249,2,--,--,--,--,--,--,--,--,--,58,
基本每股收益,0.05,0.04,-0.05,-0.96,0.03,0.07,-0.02,0.39,0.15,0.03,0.01,0.25,0.14,0.04,0.01,0.28,0.23,0.22,0.11,0.36,0.27,0.17,0.11,1.03,0.71,0.51,0.81,0.71,0.7,
稀释每股收益,0.05,0.04,-0.05,-0.96,0.03,0.07,-0.02,0.39,0.15,0.03,0.01,0.25,0.14,0.04,0.01,0.28,0.23,0.22,0.11,0.36,0.27,0.17,0.11,1.03,0.71,0.51,0.81,0.71,0.7,
