报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业总收入(万元),763616,551964,350953,142199,741821,500842,299864,115418,621700,440237,286560,114275,516538,348325,231939,104134,486577,343709,221485,94823,444792,291005,178504,77517,187887,142043,81912,36777,181466,128790,79938,30610,125481,81685,50867,90782,61235,99892,66527,
营业收入(万元),763418,551766,350754,142085,741474,500842,299864,115418,621700,440237,286560,114275,516538,348325,231939,104134,486577,343709,221485,94823,444792,291005,178504,77517,187887,142043,81912,36777,181466,128790,79938,30610,125481,81685,50867,90782,61235,99892,66527,
利息收入(万元),199,199,199,115,347,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),759793,544653,348439,142184,731055,492577,295688,115215,607340,429958,281113,112368,505790,339583,225215,102017,470702,332401,213853,92013,424536,276916,171081,76368,180916,135433,77431,34898,170904,122482,75513,28859,116623,76602,47771,84230,57892,93782,63536,
营业成本(万元),662237,476203,302830,122745,643121,430678,256430,98301,531623,374094,243283,96256,439805,295688,197491,88330,409162,290112,187338,79326,376999,243956,153163,67473,157870,118983,68032,30828,151753,106989,66797,25805,105578,68573,42350,75629,51350,83992,56554,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
