报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,
营业总收入(万元),513008,384329,256335,124541,480432,351333,233509,116399,427687,320416,216184,110165,437792,329653,220277,115095,508360,386035,261439,132924,496550,374093,250274,128769,479887,363873,244005,98720,356177,261114,172831,87473,315628,231533,152486,72229,240709,151235,92363,39972,168427,126517,82617,39857,120238,90427,57106,28037,99001,71335,
营业收入(万元),513008,384329,256335,124541,480432,351333,233509,116399,427687,320416,216184,110165,437792,329653,220277,115095,508360,386035,261439,132924,496550,374093,250274,128769,479887,363873,244005,98720,356177,261114,172831,87473,315628,231533,152486,72229,240709,151235,92363,39972,168427,126517,82617,39857,120238,90427,57106,28037,99001,71335,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),422261,307776,205737,99060,417224,298055,197352,99290,392883,283462,190746,97225,392193,279770,187465,96088,423749,304590,204486,108019,407160,307278,205784,108299,398170,296790,198145,82519,299765,212964,139738,72258,262127,188291,121284,58230,192036,117892,71928,32665,135955,101609,66675,32713,104271,75355,47004,22841,84206,56556,
营业成本(万元),372149,271732,181661,87751,377049,269008,177757,88380,355573,255454,171219,87424,347543,249308,166798,85236,376230,272771,182938,96694,357741,268686,178336,94486,343429,256323,169419,70979,256250,181364,118561,61925,225423,162385,105141,50851,167212,104708,63661,29068,118599,86539,56748,27147,91010,65169,40668,19651,68017,46383,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,
