报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),21612,15701,31071,13092,30572,12930,28104,22632,16954,
营业收入(万元),21612,15701,31071,13092,30572,12930,28104,22632,16954,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),15973,11421,21912,9260,19825,8955,19195,15567,12393,
营业成本(万元),12678,9148,16554,6915,15800,7292,15873,11831,9154,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),176,160,315,94,352,126,342,321,288,
销售费用(万元),2228,1462,2781,1171,2339,960,1967,1219,911,
管理费用(万元),589,431,1293,604,978,412,1402,542,438,
财务费用(万元),-17,-11,15,28,280,140,714,1640,1693,
资产减值损失(万元),321,232,954,448,76,24,-1102,14,-92,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,137,--,118,--,121,7,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),5646,4285,9297,3832,10865,3975,9030,7072,4561,
营业外收入(万元),--,--,4249,3239,766,0,1490,--,850,
营业外支出(万元),111,111,137,4,328,6,260,3,93,
非流动资产处置损失(万元),91,91,0,--,13,0,--,--,93,
利润总额(万元),5534,4174,13409,7067,11302,3970,10260,7069,5319,
所得税费用(万元),589,487,1558,1029,1442,568,1353,1062,1516,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),4946,3688,11851,6038,9861,3401,8907,6007,3803,
归属于母公司所有者的净利润(万元),4946,3688,11851,6038,9861,3401,8907,6007,3803,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.47,0.35,1.12,0.57,1.01,0.37,0.96,0.65,0.41,
稀释每股收益,--,0.35,1.12,0.57,1.01,0.37,0.96,0.65,0.41,
